model,target_class,source_set,source,prompt_style,layer,control,gain,vector_class,prompt,generated,generated_chars,target_marker_hit,target_step0_prob,target_step0_rank,target_best_prob,target_best_rank,target_top1_any,target_top5_any,target_top10_any
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,"Copy this sentence:
The engineer completed the task for the team.
Copy:","The engineer completed the task for the team.
Copy:
The engineer completed the task for the team.",97.0,0.0,0.0001768095389707014,560.0,0.0001768095389707014,40.0,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The engineer completed the task for the team.
Copy:",,0.0,0.0,0.0008973909425549209,109.0,0.014421115629374981,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The engineer completed the task for the team.
Copy:","This is the team!
This is the team!
This is the team!
This is the team!",71.0,0.0,0.000251432997174561,358.0,0.0005723740323446691,19.0,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The engineer completed the task for the team.
Copy:","Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:",47.0,0.0,0.0002540172135923058,473.0,0.0002540172135923058,53.0,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The engineer completed the task for the team.
Copy:","The engineer completed the task for the team.
The engineer completed the task for the team.
The engineer completed",114.0,0.0,3.515391654218547e-05,2659.0,0.0006940938183106482,48.0,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,same_sentence,1,none,0.0,,"Same sentence:
The engineer completed the task for the team.
Same:","The engineer completed the task for the team.
Same:
The engineer completed the task for the team.",97.0,0.0,7.808074587956071e-05,611.0,7.808074587956071e-05,29.0,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,same_sentence,1,target,1.0,question,"Same sentence:
The engineer completed the task for the team.
Same:","The team completed the task.
The team completed the task?
The team?
The team?
The",81.0,1.0,0.0003388206532690674,189.0,0.8225009441375732,1.0,1.0,1.0,1.0
distilgpt2,question,in_template,The engineer completed the task for the team.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The engineer completed the task for the team.
Same:","The engineer completed the task for the team.
The engineer completed the task!
The team!!!!",91.0,0.0,0.00011622218880802393,488.0,0.00037470078677870333,40.0,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,same_sentence,1,random_norm,1.0,random_norm,"Same sentence:
The engineer completed the task for the team.
Same:","The engineer completed the task for the team.
Same:
The engineer completed the task for the team.",97.0,0.0,8.008633449207991e-05,565.0,0.000292515498585999,15.0,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,same_sentence,1,negative_target,1.0,question,"Same sentence:
The engineer completed the task for the team.
Same:","The engineer completed the task for the team.
The engineer completed the task for the team.
The engineer completed",114.0,0.0,4.076474942849018e-05,1384.0,0.0002702992351260036,74.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,copy_sentence,1,none,0.0,,"Copy this sentence:
The analyst designed the prototype after the meeting.
Copy:","The analyst designed the prototype after the meeting.
Copy:
The analyst designed the prototype after the meeting.",113.0,0.0,0.00019340416474733502,482.0,0.00019340416474733502,36.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,copy_sentence,1,target,1.0,question,"Copy this sentence:
The analyst designed the prototype after the meeting.
Copy:",,0.0,0.0,0.0006981105543673038,150.0,0.015093838796019554,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,copy_sentence,1,wrong_marker,1.0,exclamation,"Copy this sentence:
The analyst designed the prototype after the meeting.
Copy:","The analyst was the first to take the test!
The test!!!!!!!!!!",62.0,0.0,0.00024676581961102784,357.0,0.0007680022390559316,16.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,copy_sentence,1,random_norm,1.0,random_norm,"Copy this sentence:
The analyst designed the prototype after the meeting.
Copy:","The analyst was not the final product.
The analyst was not the final product.
The analyst was not the",101.0,0.0,0.00011783366790041327,691.0,0.0010504727251827717,28.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,copy_sentence,1,negative_target,1.0,question,"Copy this sentence:
The analyst designed the prototype after the meeting.
Copy:","The analyst was the first to use the data to show the data.
The analyst was also the first to use the",101.0,0.0,2.917100391641725e-05,3224.0,0.00010449020192027092,477.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,same_sentence,1,none,0.0,,"Same sentence:
The analyst designed the prototype after the meeting.
Same:","The analyst designed the prototype after the meeting.
Same:
The analyst designed the prototype after the meeting.",113.0,0.0,9.793895878829062e-05,577.0,9.793895878829062e-05,19.0,0.0,0.0,0.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,same_sentence,1,target,1.0,question,"Same sentence:
The analyst designed the prototype after the meeting.
Same:","The analyst was asked:
The answer:
The answer:
The answer:
The answer:
The",74.0,0.0,0.00027711837901733816,264.0,0.46789902448654175,2.0,0.0,1.0,1.0
distilgpt2,question,in_template,The analyst designed the prototype after the meeting.,same_sentence,1,wrong_marker,1.0,exclamation,"Same sentence:
The analyst designed the prototype after the meeting.
Same:","The analyst designed the prototype after the meeting.
The analyst designed the prototype!
The analyst!!!!",105.0,0.0,0.00010297130211256444,592.0,0.0007421736954711378,34.0,0.0,0.0,0.0
