template_id,source,op_a,op_b,pair,ab_text,ba_text
0,The teacher fixed the bug.,N,Q,NQ_vs_QN,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?
0,The teacher fixed the bug.,N,M,NM_vs_MN,The teacher allegedly failed to fix the bug.,The teacher failed to allegedly fix the bug.
0,The teacher fixed the bug.,N,T,NT_vs_TN,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.
0,The teacher fixed the bug.,Q,M,QM_vs_MQ,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?
0,The teacher fixed the bug.,Q,T,QT_vs_TQ,Could the teacher fix the bug tomorrow?,Will the teacher fix the bug tomorrow?
0,The teacher fixed the bug.,M,T,MT_vs_TM,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.
1,The robot accepted the explanation.,N,Q,NQ_vs_QN,Could the robot fail to accept the explanation?,Is it false that the robot accepted the explanation?
1,The robot accepted the explanation.,N,M,NM_vs_MN,The robot allegedly failed to accept the explanation.,The robot failed to allegedly accept the explanation.
1,The robot accepted the explanation.,N,T,NT_vs_TN,The robot will fail to accept the explanation tomorrow.,The robot failed to have accepted the explanation earlier.
1,The robot accepted the explanation.,Q,M,QM_vs_MQ,Could the robot allegedly accept the explanation?,Is it alleged that the robot accepted the explanation?
1,The robot accepted the explanation.,Q,T,QT_vs_TQ,Could the robot accept the explanation tomorrow?,Will the robot accept the explanation tomorrow?
1,The robot accepted the explanation.,M,T,MT_vs_TM,The robot will allegedly accept the explanation tomorrow.,The robot was allegedly going to accept the explanation.
2,The dragon confirmed the answer.,N,Q,NQ_vs_QN,Could the dragon fail to confirm the answer?,Is it false that the dragon confirmed the answer?
2,The dragon confirmed the answer.,N,M,NM_vs_MN,The dragon allegedly failed to confirm the answer.,The dragon failed to allegedly confirm the answer.
2,The dragon confirmed the answer.,N,T,NT_vs_TN,The dragon will fail to confirm the answer tomorrow.,The dragon failed to have confirmed the answer earlier.
