split,class,source,target
train,question,The doctor measured the signal without delay.,The doctor measured the signal without delay?
train,exclamation,The doctor measured the signal without delay.,The doctor measured the signal without delay!
train,ellipsis,The doctor measured the signal without delay.,The doctor measured the signal without delay...
train,question,The writer completed the task during the session.,The writer completed the task during the session?
train,exclamation,The writer completed the task during the session.,The writer completed the task during the session!
train,ellipsis,The writer completed the task during the session.,The writer completed the task during the session...
train,question,The researcher checked the result on Monday.,The researcher checked the result on Monday?
train,exclamation,The researcher checked the result on Monday.,The researcher checked the result on Monday!
train,ellipsis,The researcher checked the result on Monday.,The researcher checked the result on Monday...
train,question,The pilot completed the task during the session.,The pilot completed the task during the session?
train,exclamation,The pilot completed the task during the session.,The pilot completed the task during the session!
train,ellipsis,The pilot completed the task during the session.,The pilot completed the task during the session...
train,question,The student published the note for the team.,The student published the note for the team?
train,exclamation,The student published the note for the team.,The student published the note for the team!
train,ellipsis,The student published the note for the team.,The student published the note for the team...
train,question,The manager checked the result in the lab.,The manager checked the result in the lab?
train,exclamation,The manager checked the result in the lab.,The manager checked the result in the lab!
train,ellipsis,The manager checked the result in the lab.,The manager checked the result in the lab...
train,question,The doctor cleaned the dataset with care.,The doctor cleaned the dataset with care?
train,exclamation,The doctor cleaned the dataset with care.,The doctor cleaned the dataset with care!
train,ellipsis,The doctor cleaned the dataset with care.,The doctor cleaned the dataset with care...
train,question,The student measured the signal in the lab.,The student measured the signal in the lab?
train,exclamation,The student measured the signal in the lab.,The student measured the signal in the lab!
train,ellipsis,The student measured the signal in the lab.,The student measured the signal in the lab...
train,question,The writer designed the prototype on Monday.,The writer designed the prototype on Monday?
train,exclamation,The writer designed the prototype on Monday.,The writer designed the prototype on Monday!
train,ellipsis,The writer designed the prototype on Monday.,The writer designed the prototype on Monday...
train,question,The analyst reviewed the plan before lunch.,The analyst reviewed the plan before lunch?
train,exclamation,The analyst reviewed the plan before lunch.,The analyst reviewed the plan before lunch!
train,ellipsis,The analyst reviewed the plan before lunch.,The analyst reviewed the plan before lunch...
train,question,The teacher measured the signal in the lab.,The teacher measured the signal in the lab?
train,exclamation,The teacher measured the signal in the lab.,The teacher measured the signal in the lab!
train,ellipsis,The teacher measured the signal in the lab.,The teacher measured the signal in the lab...
train,question,The analyst measured the signal after the meeting.,The analyst measured the signal after the meeting?
train,exclamation,The analyst measured the signal after the meeting.,The analyst measured the signal after the meeting!
train,ellipsis,The analyst measured the signal after the meeting.,The analyst measured the signal after the meeting...
train,question,The doctor opened the archive near the station.,The doctor opened the archive near the station?
train,exclamation,The doctor opened the archive near the station.,The doctor opened the archive near the station!
train,ellipsis,The doctor opened the archive near the station.,The doctor opened the archive near the station...
train,question,The teacher designed the prototype without delay.,The teacher designed the prototype without delay?
train,exclamation,The teacher designed the prototype without delay.,The teacher designed the prototype without delay!
train,ellipsis,The teacher designed the prototype without delay.,The teacher designed the prototype without delay...
train,question,The doctor published the note before lunch.,The doctor published the note before lunch?
train,exclamation,The doctor published the note before lunch.,The doctor published the note before lunch!
train,ellipsis,The doctor published the note before lunch.,The doctor published the note before lunch...
train,question,The engineer measured the signal on Monday.,The engineer measured the signal on Monday?
train,exclamation,The engineer measured the signal on Monday.,The engineer measured the signal on Monday!
train,ellipsis,The engineer measured the signal on Monday.,The engineer measured the signal on Monday...
train,question,The musician updated the report with care.,The musician updated the report with care?
train,exclamation,The musician updated the report with care.,The musician updated the report with care!
train,ellipsis,The musician updated the report with care.,The musician updated the report with care...
train,question,The musician opened the archive near the station.,The musician opened the archive near the station?
train,exclamation,The musician opened the archive near the station.,The musician opened the archive near the station!
train,ellipsis,The musician opened the archive near the station.,The musician opened the archive near the station...
train,question,The artist updated the report today.,The artist updated the report today?
train,exclamation,The artist updated the report today.,The artist updated the report today!
train,ellipsis,The artist updated the report today.,The artist updated the report today...
train,question,The teacher tested the system after the meeting.,The teacher tested the system after the meeting?
train,exclamation,The teacher tested the system after the meeting.,The teacher tested the system after the meeting!
train,ellipsis,The teacher tested the system after the meeting.,The teacher tested the system after the meeting...
train,question,The writer updated the report during the session.,The writer updated the report during the session?
train,exclamation,The writer updated the report during the session.,The writer updated the report during the session!
train,ellipsis,The writer updated the report during the session.,The writer updated the report during the session...
train,question,The analyst fixed the problem without delay.,The analyst fixed the problem without delay?
train,exclamation,The analyst fixed the problem without delay.,The analyst fixed the problem without delay!
train,ellipsis,The analyst fixed the problem without delay.,The analyst fixed the problem without delay...
train,question,The gardener checked the result on Monday.,The gardener checked the result on Monday?
train,exclamation,The gardener checked the result on Monday.,The gardener checked the result on Monday!
train,ellipsis,The gardener checked the result on Monday.,The gardener checked the result on Monday...
train,question,The artist published the note without delay.,The artist published the note without delay?
train,exclamation,The artist published the note without delay.,The artist published the note without delay!
train,ellipsis,The artist published the note without delay.,The artist published the note without delay...
train,question,The musician designed the prototype with care.,The musician designed the prototype with care?
train,exclamation,The musician designed the prototype with care.,The musician designed the prototype with care!
train,ellipsis,The musician designed the prototype with care.,The musician designed the prototype with care...
train,question,The musician reviewed the plan with care.,The musician reviewed the plan with care?
train,exclamation,The musician reviewed the plan with care.,The musician reviewed the plan with care!
train,ellipsis,The musician reviewed the plan with care.,The musician reviewed the plan with care...
train,question,The manager reviewed the plan near the station.,The manager reviewed the plan near the station?
train,exclamation,The manager reviewed the plan near the station.,The manager reviewed the plan near the station!
train,ellipsis,The manager reviewed the plan near the station.,The manager reviewed the plan near the station...
train,question,The writer explained the pattern on Monday.,The writer explained the pattern on Monday?
train,exclamation,The writer explained the pattern on Monday.,The writer explained the pattern on Monday!
train,ellipsis,The writer explained the pattern on Monday.,The writer explained the pattern on Monday...
train,question,The researcher reviewed the plan with care.,The researcher reviewed the plan with care?
train,exclamation,The researcher reviewed the plan with care.,The researcher reviewed the plan with care!
train,ellipsis,The researcher reviewed the plan with care.,The researcher reviewed the plan with care...
train,question,The teacher updated the report after the meeting.,The teacher updated the report after the meeting?
train,exclamation,The teacher updated the report after the meeting.,The teacher updated the report after the meeting!
train,ellipsis,The teacher updated the report after the meeting.,The teacher updated the report after the meeting...
train,question,The writer designed the prototype before lunch.,The writer designed the prototype before lunch?
train,exclamation,The writer designed the prototype before lunch.,The writer designed the prototype before lunch!
train,ellipsis,The writer designed the prototype before lunch.,The writer designed the prototype before lunch...
train,question,The student checked the result near the station.,The student checked the result near the station?
train,exclamation,The student checked the result near the station.,The student checked the result near the station!
train,ellipsis,The student checked the result near the station.,The student checked the result near the station...
train,question,The doctor tested the system with care.,The doctor tested the system with care?
train,exclamation,The doctor tested the system with care.,The doctor tested the system with care!
train,ellipsis,The doctor tested the system with care.,The doctor tested the system with care...
train,question,The manager fixed the problem near the station.,The manager fixed the problem near the station?
train,exclamation,The manager fixed the problem near the station.,The manager fixed the problem near the station!
train,ellipsis,The manager fixed the problem near the station.,The manager fixed the problem near the station...
train,question,The teacher fixed the problem for the team.,The teacher fixed the problem for the team?
train,exclamation,The teacher fixed the problem for the team.,The teacher fixed the problem for the team!
train,ellipsis,The teacher fixed the problem for the team.,The teacher fixed the problem for the team...
train,question,The researcher tested the system before lunch.,The researcher tested the system before lunch?
train,exclamation,The researcher tested the system before lunch.,The researcher tested the system before lunch!
train,ellipsis,The researcher tested the system before lunch.,The researcher tested the system before lunch...
train,question,The analyst fixed the problem after the meeting.,The analyst fixed the problem after the meeting?
train,exclamation,The analyst fixed the problem after the meeting.,The analyst fixed the problem after the meeting!
train,ellipsis,The analyst fixed the problem after the meeting.,The analyst fixed the problem after the meeting...
train,question,The researcher measured the signal without delay.,The researcher measured the signal without delay?
train,exclamation,The researcher measured the signal without delay.,The researcher measured the signal without delay!
train,ellipsis,The researcher measured the signal without delay.,The researcher measured the signal without delay...
train,question,The musician checked the result during the session.,The musician checked the result during the session?
train,exclamation,The musician checked the result during the session.,The musician checked the result during the session!
train,ellipsis,The musician checked the result during the session.,The musician checked the result during the session...
train,question,The manager designed the prototype with care.,The manager designed the prototype with care?
train,exclamation,The manager designed the prototype with care.,The manager designed the prototype with care!
train,ellipsis,The manager designed the prototype with care.,The manager designed the prototype with care...
train,question,The musician reviewed the plan near the station.,The musician reviewed the plan near the station?
train,exclamation,The musician reviewed the plan near the station.,The musician reviewed the plan near the station!
train,ellipsis,The musician reviewed the plan near the station.,The musician reviewed the plan near the station...
train,question,The writer designed the prototype near the station.,The writer designed the prototype near the station?
train,exclamation,The writer designed the prototype near the station.,The writer designed the prototype near the station!
train,ellipsis,The writer designed the prototype near the station.,The writer designed the prototype near the station...
train,question,The teacher fixed the problem in the lab.,The teacher fixed the problem in the lab?
train,exclamation,The teacher fixed the problem in the lab.,The teacher fixed the problem in the lab!
train,ellipsis,The teacher fixed the problem in the lab.,The teacher fixed the problem in the lab...
train,question,The manager explained the pattern in the lab.,The manager explained the pattern in the lab?
train,exclamation,The manager explained the pattern in the lab.,The manager explained the pattern in the lab!
train,ellipsis,The manager explained the pattern in the lab.,The manager explained the pattern in the lab...
train,question,The artist updated the report without delay.,The artist updated the report without delay?
train,exclamation,The artist updated the report without delay.,The artist updated the report without delay!
train,ellipsis,The artist updated the report without delay.,The artist updated the report without delay...
train,question,The gardener opened the archive for the team.,The gardener opened the archive for the team?
train,exclamation,The gardener opened the archive for the team.,The gardener opened the archive for the team!
train,ellipsis,The gardener opened the archive for the team.,The gardener opened the archive for the team...
train,question,The student reviewed the plan during the session.,The student reviewed the plan during the session?
train,exclamation,The student reviewed the plan during the session.,The student reviewed the plan during the session!
train,ellipsis,The student reviewed the plan during the session.,The student reviewed the plan during the session...
train,question,The manager explained the pattern with care.,The manager explained the pattern with care?
train,exclamation,The manager explained the pattern with care.,The manager explained the pattern with care!
train,ellipsis,The manager explained the pattern with care.,The manager explained the pattern with care...
train,question,The doctor fixed the problem near the station.,The doctor fixed the problem near the station?
train,exclamation,The doctor fixed the problem near the station.,The doctor fixed the problem near the station!
train,ellipsis,The doctor fixed the problem near the station.,The doctor fixed the problem near the station...
train,question,The pilot tested the system after the meeting.,The pilot tested the system after the meeting?
train,exclamation,The pilot tested the system after the meeting.,The pilot tested the system after the meeting!
train,ellipsis,The pilot tested the system after the meeting.,The pilot tested the system after the meeting...
train,question,The researcher reviewed the plan after the meeting.,The researcher reviewed the plan after the meeting?
train,exclamation,The researcher reviewed the plan after the meeting.,The researcher reviewed the plan after the meeting!
train,ellipsis,The researcher reviewed the plan after the meeting.,The researcher reviewed the plan after the meeting...
train,question,The analyst completed the task on Monday.,The analyst completed the task on Monday?
train,exclamation,The analyst completed the task on Monday.,The analyst completed the task on Monday!
train,ellipsis,The analyst completed the task on Monday.,The analyst completed the task on Monday...
train,question,The doctor tested the system in the lab.,The doctor tested the system in the lab?
train,exclamation,The doctor tested the system in the lab.,The doctor tested the system in the lab!
train,ellipsis,The doctor tested the system in the lab.,The doctor tested the system in the lab...
train,question,The engineer fixed the problem on Monday.,The engineer fixed the problem on Monday?
train,exclamation,The engineer fixed the problem on Monday.,The engineer fixed the problem on Monday!
train,ellipsis,The engineer fixed the problem on Monday.,The engineer fixed the problem on Monday...
train,question,The manager cleaned the dataset on Monday.,The manager cleaned the dataset on Monday?
train,exclamation,The manager cleaned the dataset on Monday.,The manager cleaned the dataset on Monday!
train,ellipsis,The manager cleaned the dataset on Monday.,The manager cleaned the dataset on Monday...
train,question,The teacher completed the task today.,The teacher completed the task today?
train,exclamation,The teacher completed the task today.,The teacher completed the task today!
train,ellipsis,The teacher completed the task today.,The teacher completed the task today...
train,question,The musician explained the pattern without delay.,The musician explained the pattern without delay?
train,exclamation,The musician explained the pattern without delay.,The musician explained the pattern without delay!
train,ellipsis,The musician explained the pattern without delay.,The musician explained the pattern without delay...
train,question,The writer fixed the problem in the lab.,The writer fixed the problem in the lab?
train,exclamation,The writer fixed the problem in the lab.,The writer fixed the problem in the lab!
train,ellipsis,The writer fixed the problem in the lab.,The writer fixed the problem in the lab...
train,question,The teacher measured the signal on Monday.,The teacher measured the signal on Monday?
train,exclamation,The teacher measured the signal on Monday.,The teacher measured the signal on Monday!
train,ellipsis,The teacher measured the signal on Monday.,The teacher measured the signal on Monday...
train,question,The writer opened the archive during the session.,The writer opened the archive during the session?
train,exclamation,The writer opened the archive during the session.,The writer opened the archive during the session!
train,ellipsis,The writer opened the archive during the session.,The writer opened the archive during the session...
train,question,The teacher designed the prototype before lunch.,The teacher designed the prototype before lunch?
train,exclamation,The teacher designed the prototype before lunch.,The teacher designed the prototype before lunch!
train,ellipsis,The teacher designed the prototype before lunch.,The teacher designed the prototype before lunch...
train,question,The student cleaned the dataset before lunch.,The student cleaned the dataset before lunch?
train,exclamation,The student cleaned the dataset before lunch.,The student cleaned the dataset before lunch!
train,ellipsis,The student cleaned the dataset before lunch.,The student cleaned the dataset before lunch...
train,question,The analyst checked the result for the team.,The analyst checked the result for the team?
train,exclamation,The analyst checked the result for the team.,The analyst checked the result for the team!
train,ellipsis,The analyst checked the result for the team.,The analyst checked the result for the team...
train,question,The musician updated the report near the station.,The musician updated the report near the station?
train,exclamation,The musician updated the report near the station.,The musician updated the report near the station!
train,ellipsis,The musician updated the report near the station.,The musician updated the report near the station...
train,question,The analyst opened the archive today.,The analyst opened the archive today?
train,exclamation,The analyst opened the archive today.,The analyst opened the archive today!
train,ellipsis,The analyst opened the archive today.,The analyst opened the archive today...
train,question,The researcher tested the system during the session.,The researcher tested the system during the session?
train,exclamation,The researcher tested the system during the session.,The researcher tested the system during the session!
train,ellipsis,The researcher tested the system during the session.,The researcher tested the system during the session...
train,question,The writer cleaned the dataset on Monday.,The writer cleaned the dataset on Monday?
train,exclamation,The writer cleaned the dataset on Monday.,The writer cleaned the dataset on Monday!
train,ellipsis,The writer cleaned the dataset on Monday.,The writer cleaned the dataset on Monday...
train,question,The writer completed the task with care.,The writer completed the task with care?
train,exclamation,The writer completed the task with care.,The writer completed the task with care!
train,ellipsis,The writer completed the task with care.,The writer completed the task with care...
train,question,The teacher fixed the problem without delay.,The teacher fixed the problem without delay?
train,exclamation,The teacher fixed the problem without delay.,The teacher fixed the problem without delay!
train,ellipsis,The teacher fixed the problem without delay.,The teacher fixed the problem without delay...
train,question,The researcher explained the pattern after the meeting.,The researcher explained the pattern after the meeting?
train,exclamation,The researcher explained the pattern after the meeting.,The researcher explained the pattern after the meeting!
train,ellipsis,The researcher explained the pattern after the meeting.,The researcher explained the pattern after the meeting...
train,question,The artist designed the prototype before lunch.,The artist designed the prototype before lunch?
train,exclamation,The artist designed the prototype before lunch.,The artist designed the prototype before lunch!
train,ellipsis,The artist designed the prototype before lunch.,The artist designed the prototype before lunch...
train,question,The gardener checked the result today.,The gardener checked the result today?
train,exclamation,The gardener checked the result today.,The gardener checked the result today!
train,ellipsis,The gardener checked the result today.,The gardener checked the result today...
train,question,The researcher opened the archive for the team.,The researcher opened the archive for the team?
train,exclamation,The researcher opened the archive for the team.,The researcher opened the archive for the team!
train,ellipsis,The researcher opened the archive for the team.,The researcher opened the archive for the team...
train,question,The analyst measured the signal without delay.,The analyst measured the signal without delay?
train,exclamation,The analyst measured the signal without delay.,The analyst measured the signal without delay!
train,ellipsis,The analyst measured the signal without delay.,The analyst measured the signal without delay...
train,question,The manager designed the prototype before lunch.,The manager designed the prototype before lunch?
train,exclamation,The manager designed the prototype before lunch.,The manager designed the prototype before lunch!
train,ellipsis,The manager designed the prototype before lunch.,The manager designed the prototype before lunch...
train,question,The researcher fixed the problem before lunch.,The researcher fixed the problem before lunch?
