language,template_id,kind,label,source,op_a,op_b,op_c,ab_text,ba_text,abc_text,bca_text,cab_text,acb_text,cba_text,bac_text
en,0,pair,NQ_vs_QN,The programmer fixed the bug after the review.,N,Q,,Did the programmer fail to fix the bug after the review?,Is it false that the programmer fixed the bug after the review?,,,,,,
en,0,pair,NM_vs_MN,The programmer fixed the bug after the review.,N,M,,The programmer did not fix allegedly the bug after the review.,The programmer allegedly did not fix the bug after the review.,,,,,,
en,0,pair,NT_vs_TN,The programmer fixed the bug after the review.,N,T,,The programmer failed to will fix the bug after the review.,The programmer did not fix the bug after the review.,,,,,,
en,0,pair,QM_vs_MQ,The programmer fixed the bug after the review.,Q,M,,Is it allegedly true that the programmer fixed the bug after the review?,Did the programmer allegedly fix the bug after the review?,,,,,,
en,0,pair,QT_vs_TQ,The programmer fixed the bug after the review.,Q,T,,Will it be true that the programmer fixed the bug after the review?,Will the programmer fixed the bug after the review?,,,,,,
en,0,pair,MT_vs_TM,The programmer fixed the bug after the review.,M,T,,The programmer allegedly will fix the bug after the review.,The programmer will fix allegedly the bug after the review.,,,,,,
en,0,triple,NQM,The programmer fixed the bug after the review.,N,Q,M,,,Is it allegedly true that the programmer did not fix the bug after the review?,Is it false that the programmer fixed allegedly the bug after the review?,Did the programmer fail to fix the bug after the review?,Did the programmer fail to fix the bug after the review?,Is it false that the programmer allegedly fixed the bug after the review?,Is it false that the programmer fixed allegedly the bug after the review?
en,0,triple,NQT,The programmer fixed the bug after the review.,N,Q,T,,,Will it be true that the programmer did not fix the bug after the review?,Is it false that the programmer will fix the bug after the review?,Will the programmer did not fix the bug after the review?,Will the programmer did not fix the bug after the review?,Is it false that the programmer will fix the bug after the review?,Is it false that the programmer will fix the bug after the review?
en,0,triple,NMT,The programmer fixed the bug after the review.,N,M,T,,,The programmer failed to will fix allegedly the bug after the review.,The programmer allegedly did not fix the bug after the review.,The programmer did not fix allegedly the bug after the review.,The programmer failed to will fix allegedly the bug after the review.,The programmer did not fix allegedly the bug after the review.,The programmer allegedly failed to will fix the bug after the review.
en,0,triple,QMT,The programmer fixed the bug after the review.,Q,M,T,,,Is it allegedly true that the programmer will fix the bug after the review?,Will the programmer allegedly fixed the bug after the review?,Is it allegedly true that the programmer will fix the bug after the review?,Is it allegedly true that the programmer will fix the bug after the review?,Will the programmer allegedly fixed the bug after the review?,Will it be true that the programmer allegedly fixed the bug after the review?
en,1,pair,NQ_vs_QN,The engineer approved the treatment after the review.,N,Q,,Did the engineer fail to approve the treatment after the review?,Is it false that the engineer approved the treatment after the review?,,,,,,
en,1,pair,NM_vs_MN,The engineer approved the treatment after the review.,N,M,,The engineer failed to approve allegedly the treatment after the review.,The engineer allegedly failed to approve the treatment after the review.,,,,,,
en,1,pair,NT_vs_TN,The engineer approved the treatment after the review.,N,T,,The engineer failed to is going to approve the treatment after the review.,The engineer did not approve the treatment after the review.,,,,,,
en,1,pair,QM_vs_MQ,The engineer approved the treatment after the review.,Q,M,,Is it allegedly true that the engineer approved the treatment after the review?,Did the engineer allegedly approve the treatment after the review?,,,,,,
en,1,pair,QT_vs_TQ,The engineer approved the treatment after the review.,Q,T,,Will it be true that the engineer approved the treatment after the review?,Will the engineer approved the treatment after the review?,,,,,,
en,1,pair,MT_vs_TM,The engineer approved the treatment after the review.,M,T,,The engineer allegedly is going to approve the treatment after the review.,The engineer is going to approve allegedly the treatment after the review.,,,,,,
en,1,triple,NQM,The engineer approved the treatment after the review.,N,Q,M,,,Is it allegedly true that the engineer failed to approve the treatment after the review?,Is it false that the engineer approved allegedly the treatment after the review?,Did the engineer fail to approve the treatment after the review?,Did the engineer fail to approve the treatment after the review?,Is it false that the engineer allegedly approved the treatment after the review?,Is it false that the engineer approved allegedly the treatment after the review?
