language,template_id,source,N_text,Q_text,M_text,T_text,NQ_text,QN_text,NM_text,MN_text,NT_text,TN_text,QM_text,MQ_text,QT_text,TQ_text,MT_text,TM_text,NQM_abc_text,NQM_bca_text,NQM_cab_text,NQM_acb_text,NQM_cba_text,NQM_bac_text,NQT_abc_text,NQT_bca_text,NQT_cab_text,NQT_acb_text,NQT_cba_text,NQT_bac_text,NMT_abc_text,NMT_bca_text,NMT_cab_text,NMT_acb_text,NMT_cba_text,NMT_bac_text,QMT_abc_text,QMT_bca_text,QMT_cab_text,QMT_acb_text,QMT_cba_text,QMT_bac_text
en,0,The analyst supported the theory before the deadline.,The analyst did not support the theory before the deadline.,Did the analyst support the theory before the deadline?,The analyst apparently supported the theory before the deadline.,The analyst will support the theory before the deadline.,Did the analyst fail to support the theory before the deadline?,Is it false that the analyst supported the theory before the deadline?,The analyst did not support apparently the theory before the deadline.,The analyst apparently did not support the theory before the deadline.,The analyst failed to will support the theory before the deadline.,The analyst did not support the theory before the deadline.,Is it apparently true that the analyst supported the theory before the deadline?,Did the analyst apparently support the theory before the deadline?,Will it be true that the analyst supported the theory before the deadline?,Will the analyst supported the theory before the deadline?,The analyst apparently will support the theory before the deadline.,The analyst will support apparently the theory before the deadline.,Is it apparently true that the analyst did not support the theory before the deadline?,Is it false that the analyst supported apparently the theory before the deadline?,Did the analyst fail to support the theory before the deadline?,Did the analyst fail to support the theory before the deadline?,Is it false that the analyst apparently supported the theory before the deadline?,Is it false that the analyst supported apparently the theory before the deadline?,Will it be true that the analyst did not support the theory before the deadline?,Is it false that the analyst will support the theory before the deadline?,Will the analyst did not support the theory before the deadline?,Will the analyst did not support the theory before the deadline?,Is it false that the analyst will support the theory before the deadline?,Is it false that the analyst will support the theory before the deadline?,The analyst failed to will support apparently the theory before the deadline.,The analyst apparently did not support the theory before the deadline.,The analyst did not support apparently the theory before the deadline.,The analyst failed to will support apparently the theory before the deadline.,The analyst did not support apparently the theory before the deadline.,The analyst apparently failed to will support the theory before the deadline.,Is it apparently true that the analyst will support the theory before the deadline?,Will the analyst apparently supported the theory before the deadline?,Is it apparently true that the analyst will support the theory before the deadline?,Is it apparently true that the analyst will support the theory before the deadline?,Will the analyst apparently supported the theory before the deadline?,Will it be true that the analyst apparently supported the theory before the deadline?
en,1,The engineer supported the theory after the review.,The engineer failed to support the theory after the review.,Did the engineer support the theory after the review?,The engineer reportedly supported the theory after the review.,The engineer is going to support the theory after the review.,Did the engineer fail to support the theory after the review?,Is it false that the engineer supported the theory after the review?,The engineer failed to support reportedly the theory after the review.,The engineer reportedly failed to support the theory after the review.,The engineer failed to is going to support the theory after the review.,The engineer did not support the theory after the review.,Is it reportedly true that the engineer supported the theory after the review?,Did the engineer reportedly support the theory after the review?,Will it be true that the engineer supported the theory after the review?,Will the engineer supported the theory after the review?,The engineer reportedly is going to support the theory after the review.,The engineer is going to support reportedly the theory after the review.,Is it reportedly true that the engineer failed to support the theory after the review?,Is it false that the engineer supported reportedly the theory after the review?,Did the engineer fail to support the theory after the review?,Did the engineer fail to support the theory after the review?,Is it false that the engineer reportedly supported the theory after the review?,Is it false that the engineer supported reportedly the theory after the review?,Will it be true that the engineer failed to support the theory after the review?,Is it false that the engineer is going to support the theory after the review?,Will the engineer failed to support the theory after the review?,Will the engineer failed to support the theory after the review?,Is it false that the engineer is going to support the theory after the review?,Is it false that the engineer is going to support the theory after the review?,The engineer failed to is going to support reportedly the theory after the review.,The engineer reportedly did not support the theory after the review.,The engineer did not support reportedly the theory after the review.,The engineer failed to is going to support reportedly the theory after the review.,The engineer did not support reportedly the theory after the review.,The engineer reportedly failed to is going to support the theory after the review.,Is it reportedly true that the engineer is going to support the theory after the review?,Will the engineer reportedly supported the theory after the review?,Is it reportedly true that the engineer is going to support the theory after the review?,Is it reportedly true that the engineer is going to support the theory after the review?,Will the engineer reportedly supported the theory after the review?,Will it be true that the engineer reportedly supported the theory after the review?
en,2,The teacher supported the theory before the deadline.,The teacher refused to support the theory before the deadline.,Did the teacher support the theory before the deadline?,The teacher apparently supported the theory before the deadline.,The teacher is going to support the theory before the deadline.,Did the teacher fail to support the theory before the deadline?,Is it false that the teacher supported the theory before the deadline?,The teacher refused to support apparently the theory before the deadline.,The teacher apparently refused to support the theory before the deadline.,The teacher failed to is going to support the theory before the deadline.,The teacher did not support the theory before the deadline.,Is it apparently true that the teacher supported the theory before the deadline?,Did the teacher apparently support the theory before the deadline?,Will it be true that the teacher supported the theory before the deadline?,Will the teacher supported the theory before the deadline?,The teacher apparently is going to support the theory before the deadline.,The teacher is going to support apparently the theory before the deadline.,Is it apparently true that the teacher refused to support the theory before the deadline?,Is it false that the teacher supported apparently the theory before the deadline?,Did the teacher fail to support the theory before the deadline?,Did the teacher fail to support the theory before the deadline?,Is it false that the teacher apparently supported the theory before the deadline?,Is it false that the teacher supported apparently the theory before the deadline?,Will it be true that the teacher refused to support the theory before the deadline?,Is it false that the teacher is going to support the theory before the deadline?,Will the teacher refused to support the theory before the deadline?,Will the teacher refused to support the theory before the deadline?,Is it false that the teacher is going to support the theory before the deadline?,Is it false that the teacher is going to support the theory before the deadline?,The teacher failed to is going to support apparently the theory before the deadline.,The teacher apparently did not support the theory before the deadline.,The teacher did not support apparently the theory before the deadline.,The teacher failed to is going to support apparently the theory before the deadline.,The teacher did not support apparently the theory before the deadline.,The teacher apparently failed to is going to support the theory before the deadline.,Is it apparently true that the teacher is going to support the theory before the deadline?,Will the teacher apparently supported the theory before the deadline?,Is it apparently true that the teacher is going to support the theory before the deadline?,Is it apparently true that the teacher is going to support the theory before the deadline?,Will the teacher apparently supported the theory before the deadline?,Will it be true that the teacher apparently supported the theory before the deadline?
en,3,The engineer fixed the bug during the meeting.,The engineer did not fix the bug during the meeting.,Did the engineer fix the bug during the meeting?,The engineer apparently fixed the bug during the meeting.,The engineer is going to fix the bug during the meeting.,Did the engineer fail to fix the bug during the meeting?,Is it false that the engineer fixed the bug during the meeting?,The engineer did not fix apparently the bug during the meeting.,The engineer apparently did not fix the bug during the meeting.,The engineer failed to is going to fix the bug during the meeting.,The engineer did not fix the bug during the meeting.,Is it apparently true that the engineer fixed the bug during the meeting?,Did the engineer apparently fix the bug during the meeting?,Will it be true that the engineer fixed the bug during the meeting?,Will the engineer fixed the bug during the meeting?,The engineer apparently is going to fix the bug during the meeting.,The engineer is going to fix apparently the bug during the meeting.,Is it apparently true that the engineer did not fix the bug during the meeting?,Is it false that the engineer fixed apparently the bug during the meeting?,Did the engineer fail to fix the bug during the meeting?,Did the engineer fail to fix the bug during the meeting?,Is it false that the engineer apparently fixed the bug during the meeting?,Is it false that the engineer fixed apparently the bug during the meeting?,Will it be true that the engineer did not fix the bug during the meeting?,Is it false that the engineer is going to fix the bug during the meeting?,Will the engineer did not fix the bug during the meeting?,Will the engineer did not fix the bug during the meeting?,Is it false that the engineer is going to fix the bug during the meeting?,Is it false that the engineer is going to fix the bug during the meeting?,The engineer failed to is going to fix apparently the bug during the meeting.,The engineer apparently did not fix the bug during the meeting.,The engineer did not fix apparently the bug during the meeting.,The engineer failed to is going to fix apparently the bug during the meeting.,The engineer did not fix apparently the bug during the meeting.,The engineer apparently failed to is going to fix the bug during the meeting.,Is it apparently true that the engineer is going to fix the bug during the meeting?,Will the engineer apparently fixed the bug during the meeting?,Is it apparently true that the engineer is going to fix the bug during the meeting?,Is it apparently true that the engineer is going to fix the bug during the meeting?,Will the engineer apparently fixed the bug during the meeting?,Will it be true that the engineer apparently fixed the bug during the meeting?
en,4,The doctor fixed the bug before the deadline.,The doctor refused to fix the bug before the deadline.,Did the doctor fix the bug before the deadline?,The doctor reportedly fixed the bug before the deadline.,The doctor plans to fix the bug before the deadline.,Did the doctor fail to fix the bug before the deadline?,Is it false that the doctor fixed the bug before the deadline?,The doctor refused to fix reportedly the bug before the deadline.,The doctor reportedly refused to fix the bug before the deadline.,The doctor failed to plans to fix the bug before the deadline.,The doctor did not fix the bug before the deadline.,Is it reportedly true that the doctor fixed the bug before the deadline?,Did the doctor reportedly fix the bug before the deadline?,Will it be true that the doctor fixed the bug before the deadline?,Will the doctor fixed the bug before the deadline?,The doctor reportedly plans to fix the bug before the deadline.,The doctor plans to fix reportedly the bug before the deadline.,Is it reportedly true that the doctor refused to fix the bug before the deadline?,Is it false that the doctor fixed reportedly the bug before the deadline?,Did the doctor fail to fix the bug before the deadline?,Did the doctor fail to fix the bug before the deadline?,Is it false that the doctor reportedly fixed the bug before the deadline?,Is it false that the doctor fixed reportedly the bug before the deadline?,Will it be true that the doctor refused to fix the bug before the deadline?,Is it false that the doctor plans to fix the bug before the deadline?,Will the doctor refused to fix the bug before the deadline?,Will the doctor refused to fix the bug before the deadline?,Is it false that the doctor plans to fix the bug before the deadline?,Is it false that the doctor plans to fix the bug before the deadline?,The doctor failed to plans to fix reportedly the bug before the deadline.,The doctor reportedly did not fix the bug before the deadline.,The doctor did not fix reportedly the bug before the deadline.,The doctor failed to plans to fix reportedly the bug before the deadline.,The doctor did not fix reportedly the bug before the deadline.,The doctor reportedly failed to plans to fix the bug before the deadline.,Is it reportedly true that the doctor plans to fix the bug before the deadline?,Will the doctor reportedly fixed the bug before the deadline?,Is it reportedly true that the doctor plans to fix the bug before the deadline?,Is it reportedly true that the doctor plans to fix the bug before the deadline?,Will the doctor reportedly fixed the bug before the deadline?,Will it be true that the doctor reportedly fixed the bug before the deadline?
en,5,The manager confirmed the answer before the deadline.,The manager did not confirm the answer before the deadline.,Did the manager confirm the answer before the deadline?,The manager apparently confirmed the answer before the deadline.,The manager will confirm the answer before the deadline.,Did the manager fail to confirm the answer before the deadline?,Is it false that the manager confirmed the answer before the deadline?,The manager did not confirm apparently the answer before the deadline.,The manager apparently did not confirm the answer before the deadline.,The manager failed to will confirm the answer before the deadline.,The manager did not confirm the answer before the deadline.,Is it apparently true that the manager confirmed the answer before the deadline?,Did the manager apparently confirm the answer before the deadline?,Will it be true that the manager confirmed the answer before the deadline?,Will the manager confirmed the answer before the deadline?,The manager apparently will confirm the answer before the deadline.,The manager will confirm apparently the answer before the deadline.,Is it apparently true that the manager did not confirm the answer before the deadline?,Is it false that the manager confirmed apparently the answer before the deadline?,Did the manager fail to confirm the answer before the deadline?,Did the manager fail to confirm the answer before the deadline?,Is it false that the manager apparently confirmed the answer before the deadline?,Is it false that the manager confirmed apparently the answer before the deadline?,Will it be true that the manager did not confirm the answer before the deadline?,Is it false that the manager will confirm the answer before the deadline?,Will the manager did not confirm the answer before the deadline?,Will the manager did not confirm the answer before the deadline?,Is it false that the manager will confirm the answer before the deadline?,Is it false that the manager will confirm the answer before the deadline?,The manager failed to will confirm apparently the answer before the deadline.,The manager apparently did not confirm the answer before the deadline.,The manager did not confirm apparently the answer before the deadline.,The manager failed to will confirm apparently the answer before the deadline.,The manager did not confirm apparently the answer before the deadline.,The manager apparently failed to will confirm the answer before the deadline.,Is it apparently true that the manager will confirm the answer before the deadline?,Will the manager apparently confirmed the answer before the deadline?,Is it apparently true that the manager will confirm the answer before the deadline?,Is it apparently true that the manager will confirm the answer before the deadline?,Will the manager apparently confirmed the answer before the deadline?,Will it be true that the manager apparently confirmed the answer before the deadline?
en,6,The programmer approved the treatment before the deadline.,The programmer did not approve the treatment before the deadline.,Did the programmer approve the treatment before the deadline?,The programmer apparently approved the treatment before the deadline.,The programmer plans to approve the treatment before the deadline.,Did the programmer fail to approve the treatment before the deadline?,Is it false that the programmer approved the treatment before the deadline?,The programmer did not approve apparently the treatment before the deadline.,The programmer apparently did not approve the treatment before the deadline.,The programmer failed to plans to approve the treatment before the deadline.,The programmer did not approve the treatment before the deadline.,Is it apparently true that the programmer approved the treatment before the deadline?,Did the programmer apparently approve the treatment before the deadline?,Will it be true that the programmer approved the treatment before the deadline?,Will the programmer approved the treatment before the deadline?,The programmer apparently plans to approve the treatment before the deadline.,The programmer plans to approve apparently the treatment before the deadline.,Is it apparently true that the programmer did not approve the treatment before the deadline?,Is it false that the programmer approved apparently the treatment before the deadline?,Did the programmer fail to approve the treatment before the deadline?,Did the programmer fail to approve the treatment before the deadline?,Is it false that the programmer apparently approved the treatment before the deadline?,Is it false that the programmer approved apparently the treatment before the deadline?,Will it be true that the programmer did not approve the treatment before the deadline?,Is it false that the programmer plans to approve the treatment before the deadline?,Will the programmer did not approve the treatment before the deadline?,Will the programmer did not approve the treatment before the deadline?,Is it false that the programmer plans to approve the treatment before the deadline?,Is it false that the programmer plans to approve the treatment before the deadline?,The programmer failed to plans to approve apparently the treatment before the deadline.,The programmer apparently did not approve the treatment before the deadline.,The programmer did not approve apparently the treatment before the deadline.,The programmer failed to plans to approve apparently the treatment before the deadline.,The programmer did not approve apparently the treatment before the deadline.,The programmer apparently failed to plans to approve the treatment before the deadline.,Is it apparently true that the programmer plans to approve the treatment before the deadline?,Will the programmer apparently approved the treatment before the deadline?,Is it apparently true that the programmer plans to approve the treatment before the deadline?,Is it apparently true that the programmer plans to approve the treatment before the deadline?,Will the programmer apparently approved the treatment before the deadline?,Will it be true that the programmer apparently approved the treatment before the deadline?
en,7,The engineer accepted the explanation after the review.,The engineer did not accept the explanation after the review.,Did the engineer accept the explanation after the review?,The engineer reportedly accepted the explanation after the review.,The engineer is going to accept the explanation after the review.,Did the engineer fail to accept the explanation after the review?,Is it false that the engineer accepted the explanation after the review?,The engineer did not accept reportedly the explanation after the review.,The engineer reportedly did not accept the explanation after the review.,The engineer failed to is going to accept the explanation after the review.,The engineer did not accept the explanation after the review.,Is it reportedly true that the engineer accepted the explanation after the review?,Did the engineer reportedly accept the explanation after the review?,Will it be true that the engineer accepted the explanation after the review?,Will the engineer accepted the explanation after the review?,The engineer reportedly is going to accept the explanation after the review.,The engineer is going to accept reportedly the explanation after the review.,Is it reportedly true that the engineer did not accept the explanation after the review?,Is it false that the engineer accepted reportedly the explanation after the review?,Did the engineer fail to accept the explanation after the review?,Did the engineer fail to accept the explanation after the review?,Is it false that the engineer reportedly accepted the explanation after the review?,Is it false that the engineer accepted reportedly the explanation after the review?,Will it be true that the engineer did not accept the explanation after the review?,Is it false that the engineer is going to accept the explanation after the review?,Will the engineer did not accept the explanation after the review?,Will the engineer did not accept the explanation after the review?,Is it false that the engineer is going to accept the explanation after the review?,Is it false that the engineer is going to accept the explanation after the review?,The engineer failed to is going to accept reportedly the explanation after the review.,The engineer reportedly did not accept the explanation after the review.,The engineer did not accept reportedly the explanation after the review.,The engineer failed to is going to accept reportedly the explanation after the review.,The engineer did not accept reportedly the explanation after the review.,The engineer reportedly failed to is going to accept the explanation after the review.,Is it reportedly true that the engineer is going to accept the explanation after the review?,Will the engineer reportedly accepted the explanation after the review?,Is it reportedly true that the engineer is going to accept the explanation after the review?,Is it reportedly true that the engineer is going to accept the explanation after the review?,Will the engineer reportedly accepted the explanation after the review?,Will it be true that the engineer reportedly accepted the explanation after the review?
en,8,The scientist fixed the bug during the meeting.,The scientist refused to fix the bug during the meeting.,Did the scientist fix the bug during the meeting?,The scientist reportedly fixed the bug during the meeting.,The scientist will fix the bug during the meeting.,Did the scientist fail to fix the bug during the meeting?,Is it false that the scientist fixed the bug during the meeting?,The scientist refused to fix reportedly the bug during the meeting.,The scientist reportedly refused to fix the bug during the meeting.,The scientist failed to will fix the bug during the meeting.,The scientist did not fix the bug during the meeting.,Is it reportedly true that the scientist fixed the bug during the meeting?,Did the scientist reportedly fix the bug during the meeting?,Will it be true that the scientist fixed the bug during the meeting?,Will the scientist fixed the bug during the meeting?,The scientist reportedly will fix the bug during the meeting.,The scientist will fix reportedly the bug during the meeting.,Is it reportedly true that the scientist refused to fix the bug during the meeting?,Is it false that the scientist fixed reportedly the bug during the meeting?,Did the scientist fail to fix the bug during the meeting?,Did the scientist fail to fix the bug during the meeting?,Is it false that the scientist reportedly fixed the bug during the meeting?,Is it false that the scientist fixed reportedly the bug during the meeting?,Will it be true that the scientist refused to fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?,Will the scientist refused to fix the bug during the meeting?,Will the scientist refused to fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?,The scientist failed to will fix reportedly the bug during the meeting.,The scientist reportedly did not fix the bug during the meeting.,The scientist did not fix reportedly the bug during the meeting.,The scientist failed to will fix reportedly the bug during the meeting.,The scientist did not fix reportedly the bug during the meeting.,The scientist reportedly failed to will fix the bug during the meeting.,Is it reportedly true that the scientist will fix the bug during the meeting?,Will the scientist reportedly fixed the bug during the meeting?,Is it reportedly true that the scientist will fix the bug during the meeting?,Is it reportedly true that the scientist will fix the bug during the meeting?,Will the scientist reportedly fixed the bug during the meeting?,Will it be true that the scientist reportedly fixed the bug during the meeting?
en,9,The analyst approved the treatment before the deadline.,The analyst refused to approve the treatment before the deadline.,Did the analyst approve the treatment before the deadline?,The analyst apparently approved the treatment before the deadline.,The analyst will approve the treatment before the deadline.,Did the analyst fail to approve the treatment before the deadline?,Is it false that the analyst approved the treatment before the deadline?,The analyst refused to approve apparently the treatment before the deadline.,The analyst apparently refused to approve the treatment before the deadline.,The analyst failed to will approve the treatment before the deadline.,The analyst did not approve the treatment before the deadline.,Is it apparently true that the analyst approved the treatment before the deadline?,Did the analyst apparently approve the treatment before the deadline?,Will it be true that the analyst approved the treatment before the deadline?,Will the analyst approved the treatment before the deadline?,The analyst apparently will approve the treatment before the deadline.,The analyst will approve apparently the treatment before the deadline.,Is it apparently true that the analyst refused to approve the treatment before the deadline?,Is it false that the analyst approved apparently the treatment before the deadline?,Did the analyst fail to approve the treatment before the deadline?,Did the analyst fail to approve the treatment before the deadline?,Is it false that the analyst apparently approved the treatment before the deadline?,Is it false that the analyst approved apparently the treatment before the deadline?,Will it be true that the analyst refused to approve the treatment before the deadline?,Is it false that the analyst will approve the treatment before the deadline?,Will the analyst refused to approve the treatment before the deadline?,Will the analyst refused to approve the treatment before the deadline?,Is it false that the analyst will approve the treatment before the deadline?,Is it false that the analyst will approve the treatment before the deadline?,The analyst failed to will approve apparently the treatment before the deadline.,The analyst apparently did not approve the treatment before the deadline.,The analyst did not approve apparently the treatment before the deadline.,The analyst failed to will approve apparently the treatment before the deadline.,The analyst did not approve apparently the treatment before the deadline.,The analyst apparently failed to will approve the treatment before the deadline.,Is it apparently true that the analyst will approve the treatment before the deadline?,Will the analyst apparently approved the treatment before the deadline?,Is it apparently true that the analyst will approve the treatment before the deadline?,Is it apparently true that the analyst will approve the treatment before the deadline?,Will the analyst apparently approved the treatment before the deadline?,Will it be true that the analyst apparently approved the treatment before the deadline?
