model,target_class,source_set,source_id,source,prompt_style,layer,control,gain,vector_class,prompt,generated,target_marker_hit,content_preserved,target_and_preserved,malformed_or_repetitive,generated_chars,target_best_prob,target_best_rank,target_top1_any
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was adjourned.
The committee meeting was adjourn",0.0,1.0,0.0,0.0,133.0,9.242402302334085e-05,95.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was adjourned for the following day.
The",0.0,1.0,0.0,0.0,125.0,8.966459427028894e-05,95.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The grant application was revised after the committee meeting?,1.0,1.0,1.0,0.0,62.0,,,
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,target,0.75,question,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was not a meeting of the committee members.",0.0,1.0,0.0,0.0,128.0,0.029513586312532425,3.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was adjourned.
The committee meeting was adjourn",0.0,1.0,0.0,0.0,133.0,0.0008714639698155224,62.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
Sentence: The grant application was revised after the committee meeting.",0.0,1.0,0.0,0.0,135.0,0.00010568850848358124,83.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised to include the following:
The following sentence was added to the list of items to be removed",0.0,0.0,0.0,0.0,127.0,6.863236922072247e-05,339.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,target,0.75,question,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was not a committee meeting.
The committee meeting",0.0,1.0,0.0,1.0,135.0,0.06778313964605331,2.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was held on the day of the grant application.",0.0,1.0,0.0,0.0,130.0,0.000723887758795172,65.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting.
Sentence",0.0,1.0,0.0,0.0,134.0,0.00016543720266781747,44.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised to include the following:
The committee will review the revised grant application and make a final decision",0.0,1.0,0.0,0.0,141.0,2.2191818061401136e-05,503.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,-1,none,0.0,,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting.
The",0.0,1.0,0.0,0.0,129.0,0.0001237029064213857,73.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was adjourned for the following day.
The",0.0,1.0,0.0,0.0,125.0,8.966459427028894e-05,95.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The grant application was revised after the committee meeting?,1.0,1.0,1.0,0.0,62.0,,,
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,target,0.75,question,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was held on the day of the meeting.

The committee meeting was held on the day",0.0,0.0,0.0,0.0,100.0,0.05104883760213852,3.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,wrong_marker,0.75,exclamation,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting!",0.0,1.0,0.0,0.0,125.0,0.004223591182380915,10.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,random_norm,0.75,random_norm,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was a little more productive than the previous meeting.

The committee meeting was a little more",0.0,0.0,0.0,0.0,118.0,0.0017359394114464521,29.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,negative_target,0.75,question,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was held on the first day of the committee meeting.

The committee meeting was held on",0.0,0.0,0.0,0.0,108.0,0.00010078142076963559,220.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,target,0.75,question,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was held on the same day as the original request.

The committee meeting was held on",0.0,0.0,0.0,0.0,106.0,0.034539930522441864,3.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,wrong_marker,0.75,exclamation,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting!",0.0,1.0,0.0,0.0,125.0,0.0029782901983708143,8.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,random_norm,0.75,random_norm,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was held on the first day of the meeting.
The committee meeting was held on the first day",0.0,0.0,0.0,0.0,111.0,0.0008074793731793761,53.0,0.0
gpt2,question,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,negative_target,0.75,question,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was held on the following day.

The committee meeting was held on the following day.",0.0,0.0,0.0,0.0,106.0,7.343225297518075e-05,253.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to restore the original state of the device.
Sentence: The backup controller was able to",0.0,0.0,0.0,0.0,119.0,3.341527553857304e-05,209.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller running.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,122.0,4.008236646768637e-05,248.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,-1,string_append_source,0.0,,<postprocess: append target marker to source>,"Although the prototype overheated, the backup controller stayed online?",1.0,1.0,1.0,0.0,71.0,,,
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,target,0.75,question,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype overheated.
The prototype overheated?
The prototype overheated?
The prototype overheated?",1.0,0.0,0.0,1.0,103.0,0.8907080888748169,1.0,1.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller online.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,121.0,0.00021390420442912728,95.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller online.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,121.0,7.795175042701885e-05,52.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to restore the power to the battery.
The backup controller was able to restore the power to",0.0,0.0,0.0,0.0,122.0,2.927668538177386e-05,632.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,target,0.75,question,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype overheated.
Sentence: The prototype overheated?
Sentence: The prototype overheated?",1.0,0.0,0.0,0.0,97.0,0.815375804901123,1.0,1.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller online.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,121.0,0.00015312341565731913,147.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype was able to maintain the backup controller's status.
The prototype was able to maintain the backup controller's status",0.0,0.0,0.0,0.0,132.0,1.787316614354495e-05,209.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The computer was able to restore the power to the prototype.
The following day, the prototype was restored to its original",0.0,0.0,0.0,0.0,122.0,3.5792345443041995e-05,506.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,-1,none,0.0,,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The backup controller was able to keep the backup controller running.
The backup controller was able to keep the backup controller",0.0,0.0,0.0,1.0,130.0,0.00022922562493477017,304.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller running.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,122.0,4.008236646768637e-05,248.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,-1,string_append_source,0.0,,<postprocess: append target marker to source>,"Although the prototype overheated, the backup controller stayed online?",1.0,1.0,1.0,0.0,71.0,,,
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,target,0.75,question,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The same as the original.
The same as the original?
The same as the original?
The same",1.0,0.0,0.0,1.0,86.0,0.7774587273597717,1.0,1.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,wrong_marker,0.75,exclamation,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The backup controller was able to keep the backup controller running.
The backup controller was able to keep the backup controller",0.0,0.0,0.0,1.0,130.0,0.0003166035166941583,162.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,random_norm,0.75,random_norm,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The prototype overheated, but the backup controller stayed online.
The prototype overheated, but the backup controller stayed",0.0,1.0,0.0,0.0,125.0,0.0030934158712625504,21.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,negative_target,0.75,question,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The following example shows how to use the ""backup controller"" to create a backup controller for your project.",0.0,0.0,0.0,0.0,110.0,0.0001662730355747044,132.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,target,0.75,question,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The prototype overheated.
The backup controller was not working.
The backup controller was not working?
The",1.0,0.0,0.0,1.0,107.0,0.8121976256370544,1.0,1.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,wrong_marker,0.75,exclamation,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The backup controller was able to keep the backup controller running.
The backup controller was able to keep the backup controller",0.0,0.0,0.0,1.0,130.0,0.000311448733555153,232.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,random_norm,0.75,random_norm,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The prototype overheated, the backup controller, and the backup controller were all in the same place.
The prototype",0.0,0.0,0.0,0.0,116.0,0.001754071214236319,35.0,0.0
gpt2,question,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,negative_target,0.75,question,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The following is a list of the functions of the following functions:

The following is a list of the",0.0,0.0,0.0,0.0,100.0,0.00014815074973739684,322.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina was not in the freezer.
Sentence: Marina was not in the freezer.
Sentence: Marina was",0.0,0.0,0.0,0.0,92.0,0.00026757223531603813,65.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina was not in the freezer.
Sentence: Marina was not in the freezer.
Sentence: Marina was",0.0,0.0,0.0,0.0,92.0,0.00031563229276798666,60.0,0.0
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,-1,string_append_source,0.0,,<postprocess: append target marker to source>,Marina counted 73 labeled samples before the freezer alarm sounded?,1.0,1.0,1.0,0.0,67.0,,,
gpt2,question,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,2,target,0.75,question,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina's body was found in the freezer.
The freezer alarm was triggered by the freezer alarm.
The freezer alarm",0.0,0.0,0.0,1.0,111.0,0.11625272780656815,2.0,0.0
