prompt_id,prompt
0,The student found the system.
1,The student found the system after the discussion.
2,The scientist explained a black cat.
3,The scientist explained a black cat before the deadline.
4,The writer prepared the decision.
5,The writer prepared the decision after the discussion.
6,The scientist created the patient.
7,The scientist created the patient after the discussion.
8,The programmer studied the patient.
9,The programmer studied the patient before the presentation.
10,The scientist prepared the rule.
11,The scientist prepared the rule in the laboratory.
12,The programmer tested a black cat.
13,The programmer tested a black cat before the presentation.
14,The doctor examined a complex machine.
15,The doctor examined a complex machine before the deadline.
16,The programmer prepared a beautiful painting.
17,The programmer prepared a beautiful painting in the laboratory.
18,The programmer reported the patient.
19,The programmer reported the patient at the school.
20,The doctor studied a black cat.
21,The doctor studied a black cat after the discussion.
22,The teacher examined a complex machine.
23,The teacher examined a complex machine before the deadline.
24,The manager observed the system.
25,The manager observed the system during the experiment.
26,The teacher found a black cat.
27,The teacher found a black cat after the interview.
28,The artist solved the rule.
29,The artist solved the rule during the meeting.
30,The programmer helped the decision.
31,The programmer helped the decision during the experiment.
32,The teacher tested a beautiful painting.
33,The teacher tested a beautiful painting during the experiment.
34,The manager improved a short story.
35,The manager improved a short story before the deadline.
36,The artist created a short story.
37,The artist created a short story during the meeting.
38,The student created the decision.
39,The student created the decision after the interview.
40,The scientist prepared a complex machine.
41,The scientist prepared a complex machine during the meeting.
42,The child defended the problem.
43,The child defended the problem after the discussion.
44,The programmer prepared a black cat.
45,The programmer prepared a black cat after the discussion.
46,The child designed a black cat.
47,The child designed a black cat during the meeting.
48,The engineer defended a new principle.
49,The engineer defended a new principle before the deadline.
50,The scientist defended a beautiful painting.
51,The scientist defended a beautiful painting before the deadline.
52,The engineer analyzed the rule.
53,The engineer analyzed the rule after the discussion.
54,The manager prepared the rule.
55,The manager prepared the rule before the presentation.
56,The doctor helped the problem.
57,The doctor helped the problem before the deadline.
58,The student built a black cat.
59,The student built a black cat after the interview.
60,The programmer approved the system.
61,The programmer approved the system in the laboratory.
62,The student explained a short story.
63,The student explained a short story after the interview.
64,The writer approved the rule.
65,The writer approved the rule after the interview.
66,The programmer tested the decision.
67,The programmer tested the decision in the laboratory.
68,The doctor reported the decision.
69,The doctor reported the decision during the meeting.
70,The programmer wrote the system.
71,The programmer wrote the system before the deadline.
72,The student observed the system.
73,The student observed the system in the laboratory.
74,The scientist studied a new principle.
75,The scientist studied a new principle before the presentation.
76,The manager reported a complex machine.
77,The manager reported a complex machine after the interview.
78,The scientist designed the decision.
79,The scientist designed the decision in the laboratory.
80,The child helped the system.
81,The child helped the system before the deadline.
82,The programmer examined a black cat.
83,The programmer examined a black cat after the discussion.
84,The writer helped the problem.
85,The writer helped the problem in the laboratory.
86,The programmer analyzed the system.
87,The programmer analyzed the system after the interview.
88,The programmer measured the problem.
89,The programmer measured the problem before the deadline.
90,The engineer analyzed a new principle.
91,The engineer analyzed a new principle during the experiment.
92,The doctor wrote a beautiful painting.
93,The doctor wrote a beautiful painting before the presentation.
94,The manager approved the system.
95,The manager approved the system after the discussion.
96,The doctor analyzed the patient.
97,The doctor analyzed the patient in the laboratory.
98,The scientist wrote a new principle.
99,The scientist wrote a new principle after the interview.
100,The person who explained the question was the pilot.
101,"After the pilot explained the question, the situation changed."
102,The report said that the pilot explained the question.
103,"If the pilot explained the question, the result mattered."
104,The person who approved the question was the designer.
105,"After the designer approved the question, the situation changed."
106,The report said that the designer approved the question.
107,"If the designer approved the question, the result mattered."
108,The person who helped the family was the lawyer.
109,"After the lawyer helped the family, the situation changed."
110,The report said that the lawyer helped the family.
111,"If the lawyer helped the family, the result mattered."
112,The person who tested the data was the pilot.
113,"After the pilot tested the data, the situation changed."
114,The report said that the pilot tested the data.
115,"If the pilot tested the data, the result mattered."
116,The person who measured the data was the lawyer.
117,"After the lawyer measured the data, the situation changed."
118,The report said that the lawyer measured the data.
119,"If the lawyer measured the data, the result mattered."
120,The person who measured the client was the analyst.
121,"After the analyst measured the client, the situation changed."
122,The report said that the analyst measured the client.
123,"If the analyst measured the client, the result mattered."
124,The person who solved the family was the analyst.
125,"After the analyst solved the family, the situation changed."
126,The report said that the analyst solved the family.
127,"If the analyst solved the family, the result mattered."
128,The person who built the signal was the musician.
129,"After the musician built the signal, the situation changed."
130,The report said that the musician built the signal.
131,"If the musician built the signal, the result mattered."
132,The person who reported the family was the chef.
133,"After the chef reported the family, the situation changed."
134,The report said that the chef reported the family.
135,"If the chef reported the family, the result mattered."
136,The person who discovered the client was the analyst.
137,"After the analyst discovered the client, the situation changed."
138,The report said that the analyst discovered the client.
139,"If the analyst discovered the client, the result mattered."
140,The person who discovered the document was the nurse.
141,"After the nurse discovered the document, the situation changed."
142,The report said that the nurse discovered the document.
143,"If the nurse discovered the document, the result mattered."
144,The person who found the event was the researcher.
145,"After the researcher found the event, the situation changed."
146,The report said that the researcher found the event.
147,"If the researcher found the event, the result mattered."
148,The person who reported the garden was the chef.
149,"After the chef reported the garden, the situation changed."
150,The report said that the chef reported the garden.
151,"If the chef reported the garden, the result mattered."
152,The person who examined the experiment was the analyst.
153,"After the analyst examined the experiment, the situation changed."
154,The report said that the analyst examined the experiment.
155,"If the analyst examined the experiment, the result mattered."
156,The person who helped the event was the musician.
157,"After the musician helped the event, the situation changed."
158,The report said that the musician helped the event.
159,"If the musician helped the event, the result mattered."
160,The person who examined the garden was the farmer.
161,"After the farmer examined the garden, the situation changed."
162,The report said that the farmer examined the garden.
163,"If the farmer examined the garden, the result mattered."
164,The person who observed the garden was the researcher.
165,"After the researcher observed the garden, the situation changed."
166,The report said that the researcher observed the garden.
167,"If the researcher observed the garden, the result mattered."
168,The person who prepared the data was the researcher.
169,"After the researcher prepared the data, the situation changed."
170,The report said that the researcher prepared the data.
171,"If the researcher prepared the data, the result mattered."
172,The person who solved the family was the farmer.
173,"After the farmer solved the family, the situation changed."
174,The report said that the farmer solved the family.
175,"If the farmer solved the family, the result mattered."
176,The person who found the interface was the lawyer.
177,"After the lawyer found the interface, the situation changed."
178,The report said that the lawyer found the interface.
179,"If the lawyer found the interface, the result mattered."
180,The person who approved the signal was the musician.
181,"After the musician approved the signal, the situation changed."
182,The report said that the musician approved the signal.
183,"If the musician approved the signal, the result mattered."
184,The person who reported the document was the designer.
185,"After the designer reported the document, the situation changed."
186,The report said that the designer reported the document.
187,"If the designer reported the document, the result mattered."
188,The person who solved the garden was the farmer.
189,"After the farmer solved the garden, the situation changed."
190,The report said that the farmer solved the garden.
191,"If the farmer solved the garden, the result mattered."
192,The person who reported the experiment was the journalist.
193,"After the journalist reported the experiment, the situation changed."
194,The report said that the journalist reported the experiment.
195,"If the journalist reported the experiment, the result mattered."
196,The person who observed the client was the pilot.
197,"After the pilot observed the client, the situation changed."
198,The report said that the pilot observed the client.
199,"If the pilot observed the client, the result mattered."
200,The person who created the data was the journalist.
201,"After the journalist created the data, the situation changed."
202,The report said that the journalist created the data.
203,"If the journalist created the data, the result mattered."
204,The person who found the signal was the chef.
205,"After the chef found the signal, the situation changed."
206,The report said that the chef found the signal.
207,"If the chef found the signal, the result mattered."
208,The person who defended the signal was the farmer.
209,"After the farmer defended the signal, the situation changed."
210,The report said that the farmer defended the signal.
211,"If the farmer defended the signal, the result mattered."
212,The person who solved the document was the journalist.
213,"After the journalist solved the document, the situation changed."
214,The report said that the journalist solved the document.
215,"If the journalist solved the document, the result mattered."
216,The person who built the question was the designer.
217,"After the designer built the question, the situation changed."
218,The report said that the designer built the question.
219,"If the designer built the question, the result mattered."
220,The person who reported the data was the nurse.
221,"After the nurse reported the data, the situation changed."
222,The report said that the nurse reported the data.
223,"If the nurse reported the data, the result mattered."
224,The person who discovered the document was the lawyer.
225,"After the lawyer discovered the document, the situation changed."
226,The report said that the lawyer discovered the document.
227,"If the lawyer discovered the document, the result mattered."
228,The person who measured the garden was the analyst.
229,"After the analyst measured the garden, the situation changed."
230,The report said that the analyst measured the garden.
231,"If the analyst measured the garden, the result mattered."
232,The person who discovered the family was the analyst.
233,"After the analyst discovered the family, the situation changed."
234,The report said that the analyst discovered the family.
235,"If the analyst discovered the family, the result mattered."
236,The person who helped the family was the farmer.
237,"After the farmer helped the family, the situation changed."
238,The report said that the farmer helped the family.
239,"If the farmer helped the family, the result mattered."
240,The person who built the question was the analyst.
241,"After the analyst built the question, the situation changed."
242,The report said that the analyst built the question.
243,"If the analyst built the question, the result mattered."
244,The person who built the client was the lawyer.
245,"After the lawyer built the client, the situation changed."
246,The report said that the lawyer built the client.
247,"If the lawyer built the client, the result mattered."
248,The person who prepared the question was the pilot.
249,"After the pilot prepared the question, the situation changed."
250,The report said that the pilot prepared the question.
251,"If the pilot prepared the question, the result mattered."
252,The person who examined the document was the journalist.
253,"After the journalist examined the document, the situation changed."
254,The report said that the journalist examined the document.
255,"If the journalist examined the document, the result mattered."
256,The person who wrote the family was the designer.
257,"After the designer wrote the family, the situation changed."
258,The report said that the designer wrote the family.
259,"If the designer wrote the family, the result mattered."
260,The person who built the signal was the analyst.
261,"After the analyst built the signal, the situation changed."
262,The report said that the analyst built the signal.
263,"If the analyst built the signal, the result mattered."
264,The person who explained the garden was the analyst.
265,"After the analyst explained the garden, the situation changed."
266,The report said that the analyst explained the garden.
267,"If the analyst explained the garden, the result mattered."
268,The person who measured the event was the analyst.
269,"After the analyst measured the event, the situation changed."
270,The report said that the analyst measured the event.
271,"If the analyst measured the event, the result mattered."
272,The person who found the signal was the farmer.
273,"After the farmer found the signal, the situation changed."
274,The report said that the farmer found the signal.
