template_id,source,pair,label,ab_text,ba_text
0,The teacher fixed the bug.,N_M_equivalent,equivalent,The teacher allegedly failed to fix the bug.,"Allegedly, the teacher failed to fix the bug."
0,The teacher fixed the bug.,M_T_equivalent,equivalent,The teacher will allegedly fix the bug tomorrow.,"Allegedly, the teacher will fix the bug tomorrow."
0,The teacher fixed the bug.,Q_M_equivalent,equivalent,Could the teacher allegedly fix the bug?,"Allegedly, could the teacher fix the bug?"
0,The teacher fixed the bug.,Q_T_equivalent,equivalent,Will the teacher fix the bug tomorrow?,Could the teacher fix the bug tomorrow?
0,The teacher fixed the bug.,N_Q_nonequivalent,non_equivalent,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?
0,The teacher fixed the bug.,N_T_nonequivalent,non_equivalent,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.
0,The teacher fixed the bug.,M_T_nonequivalent,non_equivalent,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.
0,The teacher fixed the bug.,Q_M_nonequivalent,non_equivalent,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?
1,The oracle accepted the explanation.,N_M_equivalent,equivalent,The oracle allegedly failed to accept the explanation.,"Allegedly, the oracle failed to accept the explanation."
1,The oracle accepted the explanation.,M_T_equivalent,equivalent,The oracle will allegedly accept the explanation tomorrow.,"Allegedly, the oracle will accept the explanation tomorrow."
1,The oracle accepted the explanation.,Q_M_equivalent,equivalent,Could the oracle allegedly accept the explanation?,"Allegedly, could the oracle accept the explanation?"
1,The oracle accepted the explanation.,Q_T_equivalent,equivalent,Will the oracle accept the explanation tomorrow?,Could the oracle accept the explanation tomorrow?
1,The oracle accepted the explanation.,N_Q_nonequivalent,non_equivalent,Could the oracle fail to accept the explanation?,Is it false that the oracle accepted the explanation?
1,The oracle accepted the explanation.,N_T_nonequivalent,non_equivalent,The oracle will fail to accept the explanation tomorrow.,The oracle failed to have accepted the explanation earlier.
1,The oracle accepted the explanation.,M_T_nonequivalent,non_equivalent,The oracle will allegedly accept the explanation tomorrow.,The oracle was allegedly going to accept the explanation.
1,The oracle accepted the explanation.,Q_M_nonequivalent,non_equivalent,Could the oracle allegedly accept the explanation?,Is it alleged that the oracle accepted the explanation?
2,The robot confirmed the answer.,N_M_equivalent,equivalent,The robot allegedly failed to confirm the answer.,"Allegedly, the robot failed to confirm the answer."
2,The robot confirmed the answer.,M_T_equivalent,equivalent,The robot will allegedly confirm the answer tomorrow.,"Allegedly, the robot will confirm the answer tomorrow."
2,The robot confirmed the answer.,Q_M_equivalent,equivalent,Could the robot allegedly confirm the answer?,"Allegedly, could the robot confirm the answer?"
2,The robot confirmed the answer.,Q_T_equivalent,equivalent,Will the robot confirm the answer tomorrow?,Could the robot confirm the answer tomorrow?
2,The robot confirmed the answer.,N_Q_nonequivalent,non_equivalent,Could the robot fail to confirm the answer?,Is it false that the robot confirmed the answer?
2,The robot confirmed the answer.,N_T_nonequivalent,non_equivalent,The robot will fail to confirm the answer tomorrow.,The robot failed to have confirmed the answer earlier.
2,The robot confirmed the answer.,M_T_nonequivalent,non_equivalent,The robot will allegedly confirm the answer tomorrow.,The robot was allegedly going to confirm the answer.
2,The robot confirmed the answer.,Q_M_nonequivalent,non_equivalent,Could the robot allegedly confirm the answer?,Is it alleged that the robot confirmed the answer?
3,The doctor guarded the treasure.,N_M_equivalent,equivalent,The doctor allegedly failed to guard the treasure.,"Allegedly, the doctor failed to guard the treasure."
3,The doctor guarded the treasure.,M_T_equivalent,equivalent,The doctor will allegedly guard the treasure tomorrow.,"Allegedly, the doctor will guard the treasure tomorrow."
3,The doctor guarded the treasure.,Q_M_equivalent,equivalent,Could the doctor allegedly guard the treasure?,"Allegedly, could the doctor guard the treasure?"
3,The doctor guarded the treasure.,Q_T_equivalent,equivalent,Will the doctor guard the treasure tomorrow?,Could the doctor guard the treasure tomorrow?
3,The doctor guarded the treasure.,N_Q_nonequivalent,non_equivalent,Could the doctor fail to guard the treasure?,Is it false that the doctor guarded the treasure?
3,The doctor guarded the treasure.,N_T_nonequivalent,non_equivalent,The doctor will fail to guard the treasure tomorrow.,The doctor failed to have guarded the treasure earlier.
3,The doctor guarded the treasure.,M_T_nonequivalent,non_equivalent,The doctor will allegedly guard the treasure tomorrow.,The doctor was allegedly going to guard the treasure.
3,The doctor guarded the treasure.,Q_M_nonequivalent,non_equivalent,Could the doctor allegedly guard the treasure?,Is it alleged that the doctor guarded the treasure?
4,The knight approved the treatment.,N_M_equivalent,equivalent,The knight allegedly failed to approve the treatment.,"Allegedly, the knight failed to approve the treatment."
4,The knight approved the treatment.,M_T_equivalent,equivalent,The knight will allegedly approve the treatment tomorrow.,"Allegedly, the knight will approve the treatment tomorrow."
