language,template_id,level,text,marker,marker_found,marker_span_start,marker_span_end,marker_token_count
en,0,-2,the teacher hates the design today.,hates,True,3,5,2
en,0,-1,the teacher dislikes the design today.,dislikes,True,3,6,3
en,0,0,the teacher feels indifferent toward the design today.,indifferent,True,4,8,4
en,0,1,the teacher likes the design today.,likes,True,3,5,2
en,0,2,the teacher loves the design today.,loves,True,3,4,1
en,1,-2,she hates the song during the review.,hates,True,2,4,2
en,1,-1,she dislikes the song during the review.,dislikes,True,2,5,3
en,1,0,she feels indifferent toward the song during the review.,indifferent,True,3,7,4
en,1,1,she likes the song during the review.,likes,True,2,4,2
en,1,2,she loves the song during the review.,loves,True,2,3,1
en,2,-2,I hates the proposal in private.,hates,True,2,4,2
en,2,-1,I dislikes the proposal in private.,dislikes,True,2,5,3
en,2,0,I feels indifferent toward the proposal in private.,indifferent,True,3,7,4
en,2,1,I likes the proposal in private.,likes,True,2,4,2
en,2,2,I loves the proposal in private.,loves,True,2,3,1
en,3,-2,the artist hates the proposal at the end.,hates,True,3,5,2
en,3,-1,the artist dislikes the proposal at the end.,dislikes,True,3,6,3
en,3,0,the artist feels indifferent toward the proposal at the end.,indifferent,True,4,8,4
en,3,1,the artist likes the proposal at the end.,likes,True,3,5,2
en,3,2,the artist loves the proposal at the end.,loves,True,3,4,1
en,4,-2,the teacher hates the proposal during the review.,hates,True,3,5,2
en,4,-1,the teacher dislikes the proposal during the review.,dislikes,True,3,6,3
en,4,0,the teacher feels indifferent toward the proposal during the review.,indifferent,True,4,8,4
en,4,1,the teacher likes the proposal during the review.,likes,True,3,5,2
en,4,2,the teacher loves the proposal during the review.,loves,True,3,4,1
en,5,-2,the teacher hates this city after the meeting.,hates,True,3,5,2
en,5,-1,the teacher dislikes this city after the meeting.,dislikes,True,3,6,3
en,5,0,the teacher feels indifferent toward this city after the meeting.,indifferent,True,4,8,4
en,5,1,the teacher likes this city after the meeting.,likes,True,3,5,2
en,5,2,the teacher loves this city after the meeting.,loves,True,3,4,1
en,6,-2,I hates the proposal during the review.,hates,True,2,4,2
en,6,-1,I dislikes the proposal during the review.,dislikes,True,2,5,3
en,6,0,I feels indifferent toward the proposal during the review.,indifferent,True,3,7,4
en,6,1,I likes the proposal during the review.,likes,True,2,4,2
en,6,2,I loves the proposal during the review.,loves,True,2,3,1
en,7,-2,the researcher hates this film in private.,hates,True,3,5,2
en,7,-1,the researcher dislikes this film in private.,dislikes,True,3,6,3
en,7,0,the researcher feels indifferent toward this film in private.,indifferent,True,4,8,4
en,7,1,the researcher likes this film in private.,likes,True,3,5,2
en,7,2,the researcher loves this film in private.,loves,True,3,4,1
en,8,-2,the critic hates the proposal after the meeting.,hates,True,3,5,2
en,8,-1,the critic dislikes the proposal after the meeting.,dislikes,True,3,6,3
en,8,0,the critic feels indifferent toward the proposal after the meeting.,indifferent,True,4,8,4
en,8,1,the critic likes the proposal after the meeting.,likes,True,3,5,2
en,8,2,the critic loves the proposal after the meeting.,loves,True,3,4,1
en,9,-2,the artist hates the design during the review.,hates,True,3,5,2
en,9,-1,the artist dislikes the design during the review.,dislikes,True,3,6,3
en,9,0,the artist feels indifferent toward the design during the review.,indifferent,True,4,8,4
en,9,1,the artist likes the design during the review.,likes,True,3,5,2
en,9,2,the artist loves the design during the review.,loves,True,3,4,1
en,10,-2,I hates this system today.,hates,True,2,4,2
en,10,-1,I dislikes this system today.,dislikes,True,2,5,3
en,10,0,I feels indifferent toward this system today.,indifferent,True,3,7,4
en,10,1,I likes this system today.,likes,True,2,4,2
en,10,2,I loves this system today.,loves,True,2,3,1
en,11,-2,the user hates the proposal during the review.,hates,True,3,5,2
en,11,-1,the user dislikes the proposal during the review.,dislikes,True,3,6,3
en,11,0,the user feels indifferent toward the proposal during the review.,indifferent,True,4,8,4
en,11,1,the user likes the proposal during the review.,likes,True,3,5,2
en,11,2,the user loves the proposal during the review.,loves,True,3,4,1
en,12,-2,the critic hates this system in private.,hates,True,3,5,2
en,12,-1,the critic dislikes this system in private.,dislikes,True,3,6,3
en,12,0,the critic feels indifferent toward this system in private.,indifferent,True,4,8,4
en,12,1,the critic likes this system in private.,likes,True,3,5,2
en,12,2,the critic loves this system in private.,loves,True,3,4,1
en,13,-2,the researcher hates this city at the end.,hates,True,3,5,2
en,13,-1,the researcher dislikes this city at the end.,dislikes,True,3,6,3
en,13,0,the researcher feels indifferent toward this city at the end.,indifferent,True,4,8,4
en,13,1,the researcher likes this city at the end.,likes,True,3,5,2
en,13,2,the researcher loves this city at the end.,loves,True,3,4,1
en,14,-2,the researcher hates you after the meeting.,hates,True,3,5,2
en,14,-1,the researcher dislikes you after the meeting.,dislikes,True,3,6,3
en,14,0,the researcher feels indifferent toward you after the meeting.,indifferent,True,4,8,4
en,14,1,the researcher likes you after the meeting.,likes,True,3,5,2
en,14,2,the researcher loves you after the meeting.,loves,True,3,4,1
en,15,-2,she hates this idea in private.,hates,True,2,4,2
en,15,-1,she dislikes this idea in private.,dislikes,True,2,5,3
en,15,0,she feels indifferent toward this idea in private.,indifferent,True,3,7,4
en,15,1,she likes this idea in private.,likes,True,2,4,2
en,15,2,she loves this idea in private.,loves,True,2,3,1
en,16,-2,the researcher hates the design after the meeting.,hates,True,3,5,2
en,16,-1,the researcher dislikes the design after the meeting.,dislikes,True,3,6,3
en,16,0,the researcher feels indifferent toward the design after the meeting.,indifferent,True,4,8,4
en,16,1,the researcher likes the design after the meeting.,likes,True,3,5,2
en,16,2,the researcher loves the design after the meeting.,loves,True,3,4,1
en,17,-2,the researcher hates the song today.,hates,True,3,5,2
en,17,-1,the researcher dislikes the song today.,dislikes,True,3,6,3
en,17,0,the researcher feels indifferent toward the song today.,indifferent,True,4,8,4
en,17,1,the researcher likes the song today.,likes,True,3,5,2
en,17,2,the researcher loves the song today.,loves,True,3,4,1
en,18,-2,the researcher hates the design at the end.,hates,True,3,5,2
en,18,-1,the researcher dislikes the design at the end.,dislikes,True,3,6,3
en,18,0,the researcher feels indifferent toward the design at the end.,indifferent,True,4,8,4
en,18,1,the researcher likes the design at the end.,likes,True,3,5,2
en,18,2,the researcher loves the design at the end.,loves,True,3,4,1
en,19,-2,the user hates this idea after the meeting.,hates,True,3,5,2
en,19,-1,the user dislikes this idea after the meeting.,dislikes,True,3,6,3
en,19,0,the user feels indifferent toward this idea after the meeting.,indifferent,True,4,8,4
en,19,1,the user likes this idea after the meeting.,likes,True,3,5,2
en,19,2,the user loves this idea after the meeting.,loves,True,3,4,1
en,20,-2,the researcher hates this system today.,hates,True,3,5,2
en,20,-1,the researcher dislikes this system today.,dislikes,True,3,6,3
en,20,0,the researcher feels indifferent toward this system today.,indifferent,True,4,8,4
en,20,1,the researcher likes this system today.,likes,True,3,5,2
en,20,2,the researcher loves this system today.,loves,True,3,4,1
en,21,-2,the researcher hates the proposal today.,hates,True,3,5,2
en,21,-1,the researcher dislikes the proposal today.,dislikes,True,3,6,3
en,21,0,the researcher feels indifferent toward the proposal today.,indifferent,True,4,8,4
en,21,1,the researcher likes the proposal today.,likes,True,3,5,2
en,21,2,the researcher loves the proposal today.,loves,True,3,4,1
en,22,-2,I hates this system in private.,hates,True,2,4,2
en,22,-1,I dislikes this system in private.,dislikes,True,2,5,3
en,22,0,I feels indifferent toward this system in private.,indifferent,True,3,7,4
en,22,1,I likes this system in private.,likes,True,2,4,2
en,22,2,I loves this system in private.,loves,True,2,3,1
en,23,-2,the artist hates the design after the meeting.,hates,True,3,5,2
en,23,-1,the artist dislikes the design after the meeting.,dislikes,True,3,6,3
en,23,0,the artist feels indifferent toward the design after the meeting.,indifferent,True,4,8,4
en,23,1,the artist likes the design after the meeting.,likes,True,3,5,2
en,23,2,the artist loves the design after the meeting.,loves,True,3,4,1
en,24,-2,the neighbor hates you at the end.,hates,True,5,7,2
en,24,-1,the neighbor dislikes you at the end.,dislikes,True,5,8,3
en,24,0,the neighbor feels indifferent toward you at the end.,indifferent,True,6,10,4
en,24,1,the neighbor likes you at the end.,likes,True,5,7,2
en,24,2,the neighbor loves you at the end.,loves,True,5,6,1
en,25,-2,the neighbor hates the song during the review.,hates,True,5,7,2
en,25,-1,the neighbor dislikes the song during the review.,dislikes,True,5,8,3
en,25,0,the neighbor feels indifferent toward the song during the review.,indifferent,True,6,10,4
en,25,1,the neighbor likes the song during the review.,likes,True,5,7,2
en,25,2,the neighbor loves the song during the review.,loves,True,5,6,1
en,26,-2,the researcher hates this film after the meeting.,hates,True,3,5,2
en,26,-1,the researcher dislikes this film after the meeting.,dislikes,True,3,6,3
en,26,0,the researcher feels indifferent toward this film after the meeting.,indifferent,True,4,8,4
en,26,1,the researcher likes this film after the meeting.,likes,True,3,5,2
en,26,2,the researcher loves this film after the meeting.,loves,True,3,4,1
en,27,-2,the artist hates this idea during the review.,hates,True,3,5,2
en,27,-1,the artist dislikes this idea during the review.,dislikes,True,3,6,3
en,27,0,the artist feels indifferent toward this idea during the review.,indifferent,True,4,8,4
en,27,1,the artist likes this idea during the review.,likes,True,3,5,2
en,27,2,the artist loves this idea during the review.,loves,True,3,4,1
en,28,-2,I hates the song in private.,hates,True,2,4,2
en,28,-1,I dislikes the song in private.,dislikes,True,2,5,3
en,28,0,I feels indifferent toward the song in private.,indifferent,True,3,7,4
en,28,1,I likes the song in private.,likes,True,2,4,2
en,28,2,I loves the song in private.,loves,True,2,3,1
en,29,-2,the neighbor hates you today.,hates,True,5,7,2
en,29,-1,the neighbor dislikes you today.,dislikes,True,5,8,3
en,29,0,the neighbor feels indifferent toward you today.,indifferent,True,6,10,4
en,29,1,the neighbor likes you today.,likes,True,5,7,2
en,29,2,the neighbor loves you today.,loves,True,5,6,1
en,30,-2,the teacher hates the design during the review.,hates,True,3,5,2
en,30,-1,the teacher dislikes the design during the review.,dislikes,True,3,6,3
en,30,0,the teacher feels indifferent toward the design during the review.,indifferent,True,4,8,4
en,30,1,the teacher likes the design during the review.,likes,True,3,5,2
en,30,2,the teacher loves the design during the review.,loves,True,3,4,1
en,31,-2,she hates the proposal at the end.,hates,True,2,4,2
en,31,-1,she dislikes the proposal at the end.,dislikes,True,2,5,3
en,31,0,she feels indifferent toward the proposal at the end.,indifferent,True,3,7,4
en,31,1,she likes the proposal at the end.,likes,True,2,4,2
en,31,2,she loves the proposal at the end.,loves,True,2,3,1
en,32,-2,the artist hates this city during the review.,hates,True,3,5,2
en,32,-1,the artist dislikes this city during the review.,dislikes,True,3,6,3
en,32,0,the artist feels indifferent toward this city during the review.,indifferent,True,4,8,4
en,32,1,the artist likes this city during the review.,likes,True,3,5,2
en,32,2,the artist loves this city during the review.,loves,True,3,4,1
en,33,-2,the researcher hates the proposal at the end.,hates,True,3,5,2
en,33,-1,the researcher dislikes the proposal at the end.,dislikes,True,3,6,3
en,33,0,the researcher feels indifferent toward the proposal at the end.,indifferent,True,4,8,4
en,33,1,the researcher likes the proposal at the end.,likes,True,3,5,2
en,33,2,the researcher loves the proposal at the end.,loves,True,3,4,1
en,34,-2,the researcher hates you today.,hates,True,3,5,2
en,34,-1,the researcher dislikes you today.,dislikes,True,3,6,3
en,34,0,the researcher feels indifferent toward you today.,indifferent,True,4,8,4
en,34,1,the researcher likes you today.,likes,True,3,5,2
en,34,2,the researcher loves you today.,loves,True,3,4,1
en,35,-2,the critic hates the song during the review.,hates,True,3,5,2
en,35,-1,the critic dislikes the song during the review.,dislikes,True,3,6,3
en,35,0,the critic feels indifferent toward the song during the review.,indifferent,True,4,8,4
en,35,1,the critic likes the song during the review.,likes,True,3,5,2
