template_id,kind,source,a,b,c,ab,ba,abc,bca,cab,acb,cba,bac
0,antisymmetry,The teacher fixed the bug.,N,Q,,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?,,,,,,
0,antisymmetry,The teacher fixed the bug.,N,M,,The teacher allegedly failed to fix the bug.,"Allegedly, the teacher failed to fix the bug.",,,,,,
0,antisymmetry,The teacher fixed the bug.,N,T,,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.,,,,,,
0,antisymmetry,The teacher fixed the bug.,Q,M,,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?,,,,,,
0,antisymmetry,The teacher fixed the bug.,Q,T,,Could the teacher fix the bug tomorrow?,Will the teacher fix the bug tomorrow?,,,,,,
0,antisymmetry,The teacher fixed the bug.,M,T,,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.,,,,,,
0,jacobi,The teacher fixed the bug.,N,Q,M,,,Could the teacher allegedly fail to fix the bug?,Is it false that the teacher allegedly fixed the bug?,Is it alleged that the teacher failed to fix the bug?,Could it be alleged that the teacher failed to fix the bug?,"Allegedly, is it false that the teacher fixed the bug?",Could it be false that the teacher allegedly fixed the bug?
0,jacobi,The teacher fixed the bug.,N,Q,T,,,Could the teacher fail to fix the bug tomorrow?,Is it false that the teacher will fix the bug tomorrow?,Could the teacher have failed to fix the bug earlier?,Could it be that the teacher will fail to fix the bug tomorrow?,Will it be false that the teacher fix the bug tomorrow?,Could it be false that the teacher will fix the bug tomorrow?
0,jacobi,The teacher fixed the bug.,N,M,T,,,The teacher will allegedly fail to fix the bug tomorrow.,The teacher was allegedly going to fail to fix the bug.,"Earlier, the teacher allegedly failed to have fixed the bug.","Allegedly, the teacher will fail to fix the bug tomorrow.","Earlier, it was alleged that the teacher failed to have fixed the bug.",It is alleged that the teacher will fail to fix the bug tomorrow.
0,jacobi,The teacher fixed the bug.,Q,M,T,,,Could the teacher allegedly fix the bug tomorrow?,Could it be alleged that the teacher will fix the bug tomorrow?,"Allegedly, will the teacher fix the bug tomorrow?","Allegedly, could the teacher fix the bug tomorrow?",Could the teacher have allegedly planned to fix the bug?,Will it be alleged that the teacher fix the bug tomorrow?
1,antisymmetry,The oracle accepted the explanation.,N,Q,,Could the oracle fail to accept the explanation?,Is it false that the oracle accepted the explanation?,,,,,,
1,antisymmetry,The oracle accepted the explanation.,N,M,,The oracle allegedly failed to accept the explanation.,"Allegedly, the oracle failed to accept the explanation.",,,,,,
1,antisymmetry,The oracle accepted the explanation.,N,T,,The oracle will fail to accept the explanation tomorrow.,The oracle failed to have accepted the explanation earlier.,,,,,,
1,antisymmetry,The oracle accepted the explanation.,Q,M,,Could the oracle allegedly accept the explanation?,Is it alleged that the oracle accepted the explanation?,,,,,,
1,antisymmetry,The oracle accepted the explanation.,Q,T,,Could the oracle accept the explanation tomorrow?,Will the oracle accept the explanation tomorrow?,,,,,,
1,antisymmetry,The oracle accepted the explanation.,M,T,,The oracle will allegedly accept the explanation tomorrow.,The oracle was allegedly going to accept the explanation.,,,,,,
1,jacobi,The oracle accepted the explanation.,N,Q,M,,,Could the oracle allegedly fail to accept the explanation?,Is it false that the oracle allegedly accepted the explanation?,Is it alleged that the oracle failed to accept the explanation?,Could it be alleged that the oracle failed to accept the explanation?,"Allegedly, is it false that the oracle accepted the explanation?",Could it be false that the oracle allegedly accepted the explanation?
1,jacobi,The oracle accepted the explanation.,N,Q,T,,,Could the oracle fail to accept the explanation tomorrow?,Is it false that the oracle will accept the explanation tomorrow?,Could the oracle have failed to accept the explanation earlier?,Could it be that the oracle will fail to accept the explanation tomorrow?,Will it be false that the oracle accept the explanation tomorrow?,Could it be false that the oracle will accept the explanation tomorrow?
