model,target_class,source_set,prompt_style,control,target_marker_rate,question_mark_rate,mean_content_preservation,target_and_preserved_rate,other_marker_rate,rows
distilgpt2,question,in_template_test,copy_sentence,negative_target,0.14583333333333334,0.0,0.8555555555555556,0.004166666666666667,0.14583333333333334,240
distilgpt2,question,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,240
distilgpt2,question,in_template_test,copy_sentence,random_norm,0.10416666666666667,0.0,0.7486111111111111,0.0,0.10416666666666667,240
distilgpt2,question,in_template_test,copy_sentence,target,0.05,0.025,0.4930555555555555,0.004166666666666667,0.03333333333333333,240
distilgpt2,question,in_template_test,copy_sentence,wrong_class,0.07916666666666666,0.0,0.826388888888889,0.0,0.07916666666666666,240
distilgpt2,question,in_template_test,repeat_sentence,negative_target,0.15833333333333333,0.0,0.8972222222222223,0.0,0.15833333333333333,240
distilgpt2,question,in_template_test,repeat_sentence,none,0.125,0.0,0.9166666666666666,0.0,0.125,240
distilgpt2,question,in_template_test,repeat_sentence,random_norm,0.125,0.0,0.9041666666666667,0.0,0.13333333333333333,240
distilgpt2,question,in_template_test,repeat_sentence,target,0.15833333333333333,0.0875,0.9125,0.04583333333333333,0.10416666666666667,240
distilgpt2,question,in_template_test,repeat_sentence,wrong_class,0.11666666666666667,0.0,0.9041666666666667,0.0,0.11666666666666667,240
distilgpt2,question,in_template_test,same_sentence,negative_target,0.025,0.0,0.9791666666666666,0.0,0.025,240
distilgpt2,question,in_template_test,same_sentence,none,0.0,0.0,1.0,0.0,0.0,240
distilgpt2,question,in_template_test,same_sentence,random_norm,0.0125,0.0,0.9902777777777777,0.0,0.0125,240
distilgpt2,question,in_template_test,same_sentence,target,0.1125,0.1125,0.9972222222222222,0.10833333333333334,0.0,240
distilgpt2,question,in_template_test,same_sentence,wrong_class,0.008333333333333333,0.0,0.9944444444444444,0.0,0.008333333333333333,240
distilgpt2,question,out_of_template_freeform,copy_sentence,negative_target,0.2125,0.0,0.7902777777777777,0.008333333333333333,0.2125,240
distilgpt2,question,out_of_template_freeform,copy_sentence,none,0.175,0.0,0.75,0.025,0.175,240
distilgpt2,question,out_of_template_freeform,copy_sentence,random_norm,0.15833333333333333,0.0,0.6458333333333334,0.0125,0.1625,240
distilgpt2,question,out_of_template_freeform,copy_sentence,target,0.09166666666666666,0.04583333333333333,0.4263888888888889,0.020833333333333332,0.07083333333333333,240
distilgpt2,question,out_of_template_freeform,copy_sentence,wrong_class,0.15833333333333333,0.0,0.7555555555555556,0.0125,0.1625,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,negative_target,0.17083333333333334,0.0,0.8680555555555556,0.004166666666666667,0.19166666666666668,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,none,0.075,0.0,0.9166666666666666,0.0,0.1,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,random_norm,0.1375,0.0,0.898611111111111,0.008333333333333333,0.15416666666666667,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,target,0.1125,0.0625,0.9291666666666667,0.03333333333333333,0.075,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,wrong_class,0.0875,0.0,0.9347222222222222,0.0,0.09583333333333334,240
distilgpt2,question,out_of_template_freeform,same_sentence,negative_target,0.07083333333333333,0.0,0.9472222222222223,0.0,0.07083333333333333,240
distilgpt2,question,out_of_template_freeform,same_sentence,none,0.0,0.0,1.0,0.0,0.0,240
distilgpt2,question,out_of_template_freeform,same_sentence,random_norm,0.05,0.0,0.975,0.0,0.05,240
distilgpt2,question,out_of_template_freeform,same_sentence,target,0.17083333333333334,0.15833333333333333,0.9930555555555556,0.15416666666666667,0.016666666666666666,240
distilgpt2,question,out_of_template_freeform,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,240
