model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
sentence-transformers/LaBSE,10.0,en,linear,N,8.005765548784003,3.320914892848119,-45.70109769701958
sentence-transformers/LaBSE,10.0,en,linear,Q,8.164566492290442,3.978707965651086,-35.948444068431854
sentence-transformers/LaBSE,10.0,en,linear,M,7.173679817059377,3.211695614860047,-46.7325841486454
sentence-transformers/LaBSE,10.0,en,linear,T,7.849016831643448,2.452834505085689,-42.71025624871254
sentence-transformers/LaBSE,10.0,en,affine,N,8.00956565613578,3.2750715338521372,-46.03054803609848
sentence-transformers/LaBSE,10.0,en,affine,Q,8.070182753735775,3.901715326323067,-35.73679327964783
sentence-transformers/LaBSE,10.0,en,affine,M,7.202137751645974,3.230009875573567,-47.25504994392395
sentence-transformers/LaBSE,10.0,en,affine,T,7.86731468693108,2.44795037821292,-43.159947007894516
sentence-transformers/LaBSE,10.0,es,linear,N,7.737625252556705,3.382438608396677,-44.69328022003174
sentence-transformers/LaBSE,10.0,es,linear,Q,7.680839000592233,3.1892248254331887,-36.01383566856384
sentence-transformers/LaBSE,10.0,es,linear,M,7.305062533723427,3.380948040407265,-46.883397310972214
sentence-transformers/LaBSE,10.0,es,linear,T,7.778475630083074,2.8306078394247485,-42.57237383723259
sentence-transformers/LaBSE,10.0,es,affine,N,7.722135058818293,3.3399482558292766,-44.878333777189255
sentence-transformers/LaBSE,10.0,es,affine,Q,7.570666420596687,3.059933124730915,-35.68433004617691
sentence-transformers/LaBSE,10.0,es,affine,M,7.329285850467262,3.4017890386856364,-47.345504730939865
sentence-transformers/LaBSE,10.0,es,affine,T,7.791753997549077,2.8325481279040114,-42.954052209854126
sentence-transformers/LaBSE,10.0,fr,linear,N,7.6151847525563765,2.7583286629359853,-44.812498301267624
sentence-transformers/LaBSE,10.0,fr,linear,Q,7.468265963915726,2.6126022083756757,-36.14946827292442
sentence-transformers/LaBSE,10.0,fr,linear,M,7.004818434215785,2.8661951584852607,-47.261218667030334
sentence-transformers/LaBSE,10.0,fr,linear,T,7.74634084814286,2.9787228437938484,-43.462541341781616
sentence-transformers/LaBSE,10.0,fr,affine,N,7.6203960312267895,2.6902266035626603,-45.09085309505463
sentence-transformers/LaBSE,10.0,fr,affine,Q,7.380834630124487,2.5472088170018456,-35.918270856142044
sentence-transformers/LaBSE,10.0,fr,affine,M,7.0351220657089675,2.895493342533347,-47.72137492895126
sentence-transformers/LaBSE,10.0,fr,affine,T,7.761075676987755,2.9716220630227848,-43.88652464747429
sentence-transformers/LaBSE,10.0,de,linear,N,8.120746921656362,3.3001577842026837,-47.236793369054794
sentence-transformers/LaBSE,10.0,de,linear,Q,8.27224763556022,3.913730405336519,-37.73006024956703
sentence-transformers/LaBSE,10.0,de,linear,M,7.029027483497512,2.711952891368105,-48.87146237492561
sentence-transformers/LaBSE,10.0,de,linear,T,7.919098547464833,2.612591441170247,-44.823864847421646
sentence-transformers/LaBSE,10.0,de,affine,N,8.122241214318928,3.2516039807438912,-47.51605278253555
sentence-transformers/LaBSE,10.0,de,affine,Q,8.164167914549413,3.8375439297918255,-37.45414164662361
sentence-transformers/LaBSE,10.0,de,affine,M,7.079631576044323,2.784561884941421,-49.38023337721825
sentence-transformers/LaBSE,10.0,de,affine,T,7.930119660115509,2.6125104684986753,-45.276672065258026
sentence-transformers/LaBSE,10.0,ru,linear,N,8.416989519312803,3.7355613711504194,-48.37371012568474
sentence-transformers/LaBSE,10.0,ru,linear,Q,8.353715491584216,4.216466209151602,-40.765310138463974
sentence-transformers/LaBSE,10.0,ru,linear,M,7.3313432871003155,3.574058338520035,-48.20850506424904
sentence-transformers/LaBSE,10.0,ru,linear,T,7.9897330336142875,2.979771656535397,-44.99567890167236
sentence-transformers/LaBSE,10.0,ru,affine,N,8.397690094942746,3.676631725346777,-48.61662256717682
sentence-transformers/LaBSE,10.0,ru,affine,Q,8.272764539840571,4.194760589896715,-40.50197097659111
sentence-transformers/LaBSE,10.0,ru,affine,M,7.338531129782829,3.5978421750454133,-48.642698377370834
sentence-transformers/LaBSE,10.0,ru,affine,T,7.988901340972229,2.9247811724196184,-45.42109623551369
sentence-transformers/LaBSE,10.0,zh,linear,N,8.243642002525727,3.607685585214717,-46.607674062252045
