model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
intfloat/multilingual-e5-large-instruct,10.0,en,linear,N,7.936297761740574,2.8129052748290677,-51.96529570221901
intfloat/multilingual-e5-large-instruct,10.0,en,linear,Q,6.619321401292402,1.6406623386125518,-45.03459395468235
intfloat/multilingual-e5-large-instruct,10.0,en,linear,M,5.9313778872902425,1.5804880267107266,-41.72386488318443
intfloat/multilingual-e5-large-instruct,10.0,en,linear,T,6.434634086771485,1.899431845124613,-43.59339827299118
intfloat/multilingual-e5-large-instruct,10.0,en,affine,N,7.950422346900743,2.8169466124629103,-52.46137723326683
intfloat/multilingual-e5-large-instruct,10.0,en,affine,Q,6.548990855537451,1.3793647131392015,-44.937910206615925
intfloat/multilingual-e5-large-instruct,10.0,en,affine,M,5.974550273522529,1.576984873005847,-42.30398190021515
intfloat/multilingual-e5-large-instruct,10.0,en,affine,T,6.472090673063435,1.8946757452659229,-44.15371775627136
intfloat/multilingual-e5-large-instruct,10.0,es,linear,N,8.188591689265111,3.2376705717847702,-51.853124767541885
intfloat/multilingual-e5-large-instruct,10.0,es,linear,Q,6.710966156816729,1.665193565330403,-45.38730739057064
intfloat/multilingual-e5-large-instruct,10.0,es,linear,M,5.934125449057217,1.5730751974125137,-41.92395183444023
intfloat/multilingual-e5-large-instruct,10.0,es,linear,T,6.454661498734714,2.001418485872063,-43.817539632320404
intfloat/multilingual-e5-large-instruct,10.0,es,affine,N,8.200715073578346,3.2376270764353157,-52.35409964621067
intfloat/multilingual-e5-large-instruct,10.0,es,affine,Q,6.638505435238428,1.4823566360003217,-45.25938305258751
intfloat/multilingual-e5-large-instruct,10.0,es,affine,M,5.983045867909368,1.574072101791763,-42.56852352619171
intfloat/multilingual-e5-large-instruct,10.0,es,affine,T,6.492241067466677,2.0023206095732036,-44.42057168483734
intfloat/multilingual-e5-large-instruct,10.0,fr,linear,N,8.0927291753839,3.0313922889107423,-51.43297675251961
intfloat/multilingual-e5-large-instruct,10.0,fr,linear,Q,6.61185679033619,1.6299785426608218,-44.526148959994316
intfloat/multilingual-e5-large-instruct,10.0,fr,linear,M,5.908456704934397,1.6255527687308104,-41.836793035268784
intfloat/multilingual-e5-large-instruct,10.0,fr,linear,T,6.505933995594395,2.040359197321024,-43.72815516591072
intfloat/multilingual-e5-large-instruct,10.0,fr,affine,N,8.109043454258316,3.029781054002917,-51.94378399848938
intfloat/multilingual-e5-large-instruct,10.0,fr,affine,Q,6.541032317635263,1.4632848983572642,-44.39454175531864
