source_set,source,target
out_of_template_freeform,﻿The report that Maria drafted after midnight was approved by the committee.,
out_of_template_freeform,"Although the server failed twice, Elena restored the database before sunrise.",
out_of_template_freeform,The bridge was inspected by Dr. Novak during the winter storm.,
out_of_template_freeform,A package containing 47 sensors arrived at the laboratory on Monday.,
out_of_template_freeform,"When the alarm sounded, the technician who was on call reset the system.",
out_of_template_freeform,The experiment ran for 14 days before the first anomaly appeared.,
out_of_template_freeform,"After Joseph signed the contract, the archive was moved to Berlin.",
out_of_template_freeform,The vaccine samples were stored at -20 degrees for six months.,
out_of_template_freeform,"Because the river flooded, the old railway station was closed by officials.",
out_of_template_freeform,Professor Ivanova compared three models before publishing the result.,
out_of_template_freeform,The satellite that crossed the equator at 03:17 transmitted a weak signal.,
out_of_template_freeform,A manuscript written in 1894 was discovered under the library stairs.,
out_of_template_freeform,"While the children were sleeping, the generator behind the clinic stopped.",
out_of_template_freeform,The sculpture near Lake Como was restored by a team of volunteers.,
out_of_template_freeform,"If the pressure exceeds 12 bars, the valve releases steam automatically.",
out_of_template_freeform,"The invoice for 8,430 euros was reviewed by the finance director.",
out_of_template_freeform,"After the storm passed, Captain Reeves counted the damaged containers.",
out_of_template_freeform,The patient whose chart was missing waited in room 214.,
out_of_template_freeform,The city council approved the plan despite three objections.,
out_of_template_freeform,A blue notebook with Alice's initials was left beside the microscope.,
out_of_template_freeform,The engine was replaced after the aircraft completed 900 flights.,
out_of_template_freeform,"When Nora opened the encrypted file, the screen displayed a warning.",
out_of_template_freeform,The warehouse in Rotterdam shipped 312 batteries to Nairobi.,
out_of_template_freeform,"Although the treaty was unsigned, the diplomats continued the meeting.",
out_of_template_freeform,The algorithm trained for 72 hours on a small medical dataset.,
out_of_template_freeform,A violin made in Cremona was sold at auction for 2 million dollars.,
out_of_template_freeform,"Because Liam forgot the password, the account was locked for 30 minutes.",
out_of_template_freeform,The ancient tablet was photographed before the museum lights were dimmed.,
out_of_template_freeform,A researcher from Kyoto measured the sample every 15 seconds.,
out_of_template_freeform,The committee that reviewed the grant rejected the second proposal.,
out_of_template_freeform,"After the elevator stopped, the technician opened the control panel.",
out_of_template_freeform,The file named Delta_07 was copied to the backup server.,
out_of_template_freeform,"When the temperature dropped below zero, the pipes in the school froze.",
out_of_template_freeform,The robot assembled 128 parts before the supervisor paused the line.,
out_of_template_freeform,A letter from Sofia arrived after the train had already left.,
out_of_template_freeform,The painting was returned to Florence after 83 years.,
out_of_template_freeform,"Although the witness changed her statement, the judge accepted the evidence.",
out_of_template_freeform,The solar panel behind the greenhouse produced 4.8 kilowatts.,
out_of_template_freeform,A doctor who studied in Prague identified the rare infection.,
out_of_template_freeform,The archive was sealed because the documents contained personal data.,
