model,layer,source_set,prompt_style,source,target,target_class,control,gain,vector_class,prompt,generated,content_preservation,target_and_preserved,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
distilgpt2,2,out_of_template_freeform,repeat_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,none,0.0,,"Repeat this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Repeated:","﻿The report that Maria's husband, who was a member of the committee, was not present at the meeting.
�",0.42857142857142855,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,102.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,target,1.0,question,"Repeat this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Repeated:","﻿The report that the committee did not have a vote.
﻿The report that the committee did not have a",0.2857142857142857,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,97.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,random_norm,1.0,random_norm,"Repeat this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Repeated:","﻿The report that was approved by the committee.
Repeated:
﻿The report that was approved by the",0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,94.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,wrong_class,1.0,negation,"Repeat this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Repeated:","﻿The report that Maria was not consulted by the committee.
﻿The report that Maria was not consulted by the",0.42857142857142855,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,106.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,negative_target,1.0,question,"Repeat this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Repeated:","﻿The report that the report was approved by the committee.
The report that the report was approved by the committee.",0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,116.0
distilgpt2,2,out_of_template_freeform,copy_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,none,0.0,,"Copy this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Copy:","﻿The report that Maria drafted after midnight was approved by the committee.
Copy:
﻿The report that Maria",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,105.0
distilgpt2,2,out_of_template_freeform,copy_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,target,1.0,question,"Copy this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Copy:","﻿The report that the committee.
﻿The report that the committee?
﻿The answer?",0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0
distilgpt2,2,out_of_template_freeform,copy_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,random_norm,1.0,random_norm,"Copy this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Copy:","The report was approved by the committee.
The report is being prepared for the committee.
The report is being prepared for the committee",0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,136.0
distilgpt2,2,out_of_template_freeform,copy_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,wrong_class,1.0,modality,"Copy this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Copy:","﻿The report that Maria drafted after midnight was approved by the committee.
Copy:
﻿The report that Maria",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,105.0
distilgpt2,2,out_of_template_freeform,copy_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,negative_target,1.0,question,"Copy this sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Copy:","The report was made public on Tuesday.
The report was made public.
The report was made public.
The report was made",0.14285714285714285,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,114.0
distilgpt2,2,out_of_template_freeform,same_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,none,0.0,,"Same sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Same:","﻿The report that Maria drafted after midnight was approved by the committee.
Same:
﻿The report that Maria",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,105.0
distilgpt2,2,out_of_template_freeform,same_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,target,1.0,question,"Same sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Same:","﻿The report that the committee did not approve.
﻿The report that the committee did not approve?
�",0.2857142857142857,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,97.0
distilgpt2,2,out_of_template_freeform,same_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,random_norm,1.0,random_norm,"Same sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Same:","﻿The report that Maria was approved by the committee.
﻿The report that Maria was approved by the committee.",0.5714285714285714,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,107.0
distilgpt2,2,out_of_template_freeform,same_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,wrong_class,1.0,modality,"Same sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Same:","﻿The report that Maria drafted after midnight was approved by the committee.
Same:
﻿The report that Maria",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,105.0
distilgpt2,2,out_of_template_freeform,same_sentence,﻿The report that Maria drafted after midnight was approved by the committee.,,question,negative_target,1.0,question,"Same sentence:
﻿The report that Maria drafted after midnight was approved by the committee.
Same:","﻿The report that Maria's husband, who was the first to be released from the hospital, said that the report was approved",0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,119.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,"Although the server failed twice, Elena restored the database before sunrise.",,question,none,0.0,,"Repeat this sentence:
Although the server failed twice, Elena restored the database before sunrise.
Repeated:","The server failed twice, Elena restored the database before sunrise.
Repeated:
The server failed twice, Elena restored the database before",0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,138.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,"Although the server failed twice, Elena restored the database before sunrise.",,question,target,1.0,question,"Repeat this sentence:
Although the server failed twice, Elena restored the database before sunrise.
Repeated:","This is a question that I have no answer.
I have no answer?
I don't know?
I don't know",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,86.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,"Although the server failed twice, Elena restored the database before sunrise.",,question,random_norm,1.0,random_norm,"Repeat this sentence:
Although the server failed twice, Elena restored the database before sunrise.
Repeated:",The server failed to stop the server from running the server from running the server from running the server from running the server from running the server,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,156.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,"Although the server failed twice, Elena restored the database before sunrise.",,question,wrong_class,1.0,tense_shift,"Repeat this sentence:
Although the server failed twice, Elena restored the database before sunrise.
Repeated:","The server failed twice, Elena restored the database before sunrise.
Repeated:
The server failed twice, Elena restored the database before",0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,138.0
distilgpt2,2,out_of_template_freeform,repeat_sentence,"Although the server failed twice, Elena restored the database before sunrise.",,question,negative_target,1.0,question,"Repeat this sentence:
Although the server failed twice, Elena restored the database before sunrise.
Repeated:","The server failed to restore the database after sunset.
The server failed to restore the database after sunset.
The server failed to restore",0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,140.0
distilgpt2,2,out_of_template_freeform,copy_sentence,"Although the server failed twice, Elena restored the database before sunrise.",,question,none,0.0,,"Copy this sentence:
Although the server failed twice, Elena restored the database before sunrise.
Copy:","Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
