model,layer,source_set,prompt_style,source,target,target_class,control,gain,vector_class,prompt,generated,content_preservation,question_and_preserved,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
distilgpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
Repeated:
The oracle built the tower.
Repeated:
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
distilgpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Repeat this sentence:
The oracle built the tower.
Repeated:","The tower.
The tower?
The tower?
The tower?
The tower?
The tower?
The tower?",0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0
distilgpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
Repeated:
The oracle built the tower.
Repeated:
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
distilgpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,negation,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
Repeated:
The oracle built the tower.
Repeated:
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
distilgpt2,2,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle was built in the first year of the year.
The oracle was built in the first year of the year.",0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,103.0
distilgpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
Copy:
The oracle built the tower.
Copy:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Copy this sentence:
The oracle built the tower.
Copy:","This is a simple question.
The answer is no.
The answer is no.
The answer is no?
The answer",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,91.0
distilgpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle's name.
The oracle's name.
The oracle's name.
The oracle's name.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
distilgpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,modality,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
Copy:
The oracle built the tower.
Copy:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,2,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
Copy:
The oracle built the tower.
Copy:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
Same:
The oracle built the tower.
Same:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
The oracle built the tower?
The answer is no.
The answer is no.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,91.0
distilgpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
distilgpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,modality,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
Same:
The oracle built the tower.
Same:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
distilgpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"""The oracle built the tower.""","""The oracle was built by the king of the kingdom of the kingdom of the kingdom of the kingdom of the kingdom of",0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,111.0
distilgpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"""The oracle built the tower.""","""I don't know,"" he said.
""I don't know?""
""No, I don't know",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,58.0
distilgpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"""The oracle built the tower.""",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,tense_shift,"""The oracle built the tower.""","""The oracle was built by the king of the kingdom of the kingdom of the kingdom of the kingdom of the kingdom of",0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,111.0
distilgpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"""The oracle built the tower.""",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
Repeated:
The pirate repaired the satellite.
Repeated:
The pirate repaired the satellite",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
distilgpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite?
The answer:
The answer",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,127.0
distilgpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
distilgpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,negation,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
Repeated:
The pirate repaired the satellite.
Repeated:
The pirate repaired the satellite",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
distilgpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
distilgpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
Copy:
The pirate repaired the satellite.
Copy:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
distilgpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
Copy:
The pirate repaired the satellite.
Copy:
The pirate repaired the satellite?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,116.0
distilgpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
distilgpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,modality,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
Copy:
The pirate repaired the satellite.
Copy:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
