split,base_id,syntax_family,class,source,target,source_idx,target_idx
train,train_0,simple_svo,negation,The student found the system.,The student never found the system.,0,300
train,train_0,simple_svo,question,The student found the system.,Could the student have found the system?,0,301
train,train_0,simple_svo,future,The student found the system.,The student will find the system.,0,302
train,train_0,simple_svo,uncertainty,The student found the system.,The student might have found the system.,0,303
train,train_0,simple_svo,passive,The student found the system.,The system had been found by the student.,0,304
train,train_0,simple_svo,formalization,The student found the system.,It is true that the student found the system.,0,305
train,train_0,with_context,negation,The student found the system after the discussion.,The student never found the system after the discussion.,1,306
train,train_0,with_context,question,The student found the system after the discussion.,Did the student find the system after the discussion?,1,307
train,train_0,with_context,future,The student found the system after the discussion.,The student is going to find the system after the discussion.,1,308
train,train_0,with_context,uncertainty,The student found the system after the discussion.,The student may have found the system after the discussion.,1,309
train,train_0,with_context,passive,The student found the system after the discussion.,The system had been found by the student after the discussion.,1,310
train,train_0,with_context,formalization,The student found the system after the discussion.,The fact is that the student found the system after the discussion.,1,311
train,train_1,simple_svo,negation,The scientist explained a black cat.,The scientist did not explain a black cat.,2,312
train,train_1,simple_svo,question,The scientist explained a black cat.,Could the scientist have explained a black cat?,2,313
train,train_1,simple_svo,future,The scientist explained a black cat.,The scientist will explain a black cat.,2,314
train,train_1,simple_svo,uncertainty,The scientist explained a black cat.,The scientist may have explained a black cat.,2,315
train,train_1,simple_svo,passive,The scientist explained a black cat.,A black cat had been explained by the scientist.,2,316
train,train_1,simple_svo,formalization,The scientist explained a black cat.,It is true that the scientist explained a black cat.,2,317
train,train_1,with_context,negation,The scientist explained a black cat before the deadline.,The scientist never explained a black cat before the deadline.,3,318
train,train_1,with_context,question,The scientist explained a black cat before the deadline.,Could the scientist have explained a black cat before the deadline?,3,319
train,train_1,with_context,future,The scientist explained a black cat before the deadline.,The scientist is going to explain a black cat before the deadline.,3,320
train,train_1,with_context,uncertainty,The scientist explained a black cat before the deadline.,The scientist might have explained a black cat before the deadline.,3,321
train,train_1,with_context,passive,The scientist explained a black cat before the deadline.,A black cat was explained by the scientist before the deadline.,3,322
train,train_1,with_context,formalization,The scientist explained a black cat before the deadline.,It is true that the scientist explained a black cat before the deadline.,3,323
train,train_2,simple_svo,negation,The writer prepared the decision.,The writer did not prepare the decision.,4,324
train,train_2,simple_svo,question,The writer prepared the decision.,Did the writer prepare the decision?,4,325
train,train_2,simple_svo,future,The writer prepared the decision.,The writer is going to prepare the decision.,4,326
train,train_2,simple_svo,uncertainty,The writer prepared the decision.,The writer may have prepared the decision.,4,327
train,train_2,simple_svo,passive,The writer prepared the decision.,The decision was prepared by the writer.,4,328
train,train_2,simple_svo,formalization,The writer prepared the decision.,The fact is that the writer prepared the decision.,4,329
train,train_2,with_context,negation,The writer prepared the decision after the discussion.,The writer never prepared the decision after the discussion.,5,330
train,train_2,with_context,question,The writer prepared the decision after the discussion.,Could the writer have prepared the decision after the discussion?,5,331
train,train_2,with_context,future,The writer prepared the decision after the discussion.,The writer is going to prepare the decision after the discussion.,5,332
train,train_2,with_context,uncertainty,The writer prepared the decision after the discussion.,The writer might have prepared the decision after the discussion.,5,333
train,train_2,with_context,passive,The writer prepared the decision after the discussion.,The decision had been prepared by the writer after the discussion.,5,334
train,train_2,with_context,formalization,The writer prepared the decision after the discussion.,It is true that the writer prepared the decision after the discussion.,5,335
train,train_3,simple_svo,negation,The scientist created the patient.,The scientist never created the patient.,6,336
train,train_3,simple_svo,question,The scientist created the patient.,Could the scientist have created the patient?,6,337
train,train_3,simple_svo,future,The scientist created the patient.,The scientist is going to create the patient.,6,338
train,train_3,simple_svo,uncertainty,The scientist created the patient.,The scientist might have created the patient.,6,339
train,train_3,simple_svo,passive,The scientist created the patient.,The patient had been created by the scientist.,6,340
train,train_3,simple_svo,formalization,The scientist created the patient.,It is true that the scientist created the patient.,6,341
train,train_3,with_context,negation,The scientist created the patient after the discussion.,The scientist never created the patient after the discussion.,7,342
train,train_3,with_context,question,The scientist created the patient after the discussion.,Could the scientist have created the patient after the discussion?,7,343
train,train_3,with_context,future,The scientist created the patient after the discussion.,The scientist will create the patient after the discussion.,7,344
train,train_3,with_context,uncertainty,The scientist created the patient after the discussion.,The scientist may have created the patient after the discussion.,7,345
train,train_3,with_context,passive,The scientist created the patient after the discussion.,The patient had been created by the scientist after the discussion.,7,346
train,train_3,with_context,formalization,The scientist created the patient after the discussion.,The fact is that the scientist created the patient after the discussion.,7,347
train,train_4,simple_svo,negation,The programmer studied the patient.,The programmer never studied the patient.,8,348
train,train_4,simple_svo,question,The programmer studied the patient.,Did the programmer study the patient?,8,349
train,train_4,simple_svo,future,The programmer studied the patient.,The programmer will study the patient.,8,350
train,train_4,simple_svo,uncertainty,The programmer studied the patient.,The programmer might have studied the patient.,8,351
train,train_4,simple_svo,passive,The programmer studied the patient.,The patient had been studied by the programmer.,8,352
train,train_4,simple_svo,formalization,The programmer studied the patient.,It is true that the programmer studied the patient.,8,353
train,train_4,with_context,negation,The programmer studied the patient before the presentation.,The programmer did not study the patient before the presentation.,9,354
train,train_4,with_context,question,The programmer studied the patient before the presentation.,Could the programmer have studied the patient before the presentation?,9,355
train,train_4,with_context,future,The programmer studied the patient before the presentation.,The programmer is going to study the patient before the presentation.,9,356
train,train_4,with_context,uncertainty,The programmer studied the patient before the presentation.,The programmer might have studied the patient before the presentation.,9,357
train,train_4,with_context,passive,The programmer studied the patient before the presentation.,The patient had been studied by the programmer before the presentation.,9,358
train,train_4,with_context,formalization,The programmer studied the patient before the presentation.,The fact is that the programmer studied the patient before the presentation.,9,359
train,train_5,simple_svo,negation,The scientist prepared the rule.,The scientist never prepared the rule.,10,360
train,train_5,simple_svo,question,The scientist prepared the rule.,Did the scientist prepare the rule?,10,361
train,train_5,simple_svo,future,The scientist prepared the rule.,The scientist will prepare the rule.,10,362
train,train_5,simple_svo,uncertainty,The scientist prepared the rule.,The scientist may have prepared the rule.,10,363
train,train_5,simple_svo,passive,The scientist prepared the rule.,The rule had been prepared by the scientist.,10,364
train,train_5,simple_svo,formalization,The scientist prepared the rule.,The fact is that the scientist prepared the rule.,10,365
train,train_5,with_context,negation,The scientist prepared the rule in the laboratory.,The scientist never prepared the rule in the laboratory.,11,366
train,train_5,with_context,question,The scientist prepared the rule in the laboratory.,Did the scientist prepare the rule in the laboratory?,11,367
train,train_5,with_context,future,The scientist prepared the rule in the laboratory.,The scientist is going to prepare the rule in the laboratory.,11,368
train,train_5,with_context,uncertainty,The scientist prepared the rule in the laboratory.,The scientist might have prepared the rule in the laboratory.,11,369
train,train_5,with_context,passive,The scientist prepared the rule in the laboratory.,The rule was prepared by the scientist in the laboratory.,11,370
train,train_5,with_context,formalization,The scientist prepared the rule in the laboratory.,The fact is that the scientist prepared the rule in the laboratory.,11,371
train,train_6,simple_svo,negation,The programmer tested a black cat.,The programmer did not test a black cat.,12,372
train,train_6,simple_svo,question,The programmer tested a black cat.,Could the programmer have tested a black cat?,12,373
train,train_6,simple_svo,future,The programmer tested a black cat.,The programmer will test a black cat.,12,374
train,train_6,simple_svo,uncertainty,The programmer tested a black cat.,The programmer may have tested a black cat.,12,375
train,train_6,simple_svo,passive,The programmer tested a black cat.,A black cat had been tested by the programmer.,12,376
train,train_6,simple_svo,formalization,The programmer tested a black cat.,It is true that the programmer tested a black cat.,12,377
train,train_6,with_context,negation,The programmer tested a black cat before the presentation.,The programmer did not test a black cat before the presentation.,13,378
train,train_6,with_context,question,The programmer tested a black cat before the presentation.,Did the programmer test a black cat before the presentation?,13,379
train,train_6,with_context,future,The programmer tested a black cat before the presentation.,The programmer is going to test a black cat before the presentation.,13,380
train,train_6,with_context,uncertainty,The programmer tested a black cat before the presentation.,The programmer may have tested a black cat before the presentation.,13,381
train,train_6,with_context,passive,The programmer tested a black cat before the presentation.,A black cat was tested by the programmer before the presentation.,13,382
train,train_6,with_context,formalization,The programmer tested a black cat before the presentation.,The fact is that the programmer tested a black cat before the presentation.,13,383
train,train_7,simple_svo,negation,The doctor examined a complex machine.,The doctor never examined a complex machine.,14,384
train,train_7,simple_svo,question,The doctor examined a complex machine.,Could the doctor have examined a complex machine?,14,385
train,train_7,simple_svo,future,The doctor examined a complex machine.,The doctor will examine a complex machine.,14,386
train,train_7,simple_svo,uncertainty,The doctor examined a complex machine.,The doctor might have examined a complex machine.,14,387
train,train_7,simple_svo,passive,The doctor examined a complex machine.,A complex machine had been examined by the doctor.,14,388
train,train_7,simple_svo,formalization,The doctor examined a complex machine.,The fact is that the doctor examined a complex machine.,14,389
train,train_7,with_context,negation,The doctor examined a complex machine before the deadline.,The doctor never examined a complex machine before the deadline.,15,390
train,train_7,with_context,question,The doctor examined a complex machine before the deadline.,Did the doctor examine a complex machine before the deadline?,15,391
train,train_7,with_context,future,The doctor examined a complex machine before the deadline.,The doctor is going to examine a complex machine before the deadline.,15,392
train,train_7,with_context,uncertainty,The doctor examined a complex machine before the deadline.,The doctor might have examined a complex machine before the deadline.,15,393
train,train_7,with_context,passive,The doctor examined a complex machine before the deadline.,A complex machine was examined by the doctor before the deadline.,15,394
train,train_7,with_context,formalization,The doctor examined a complex machine before the deadline.,The fact is that the doctor examined a complex machine before the deadline.,15,395
train,train_8,simple_svo,negation,The programmer prepared a beautiful painting.,The programmer never prepared a beautiful painting.,16,396
