classifier,accuracy,model,layer,pooling,representation,n_base,n_train,n_test
linear_svc,1.0,bert-base-uncased,0,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,0,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,1,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,1,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,1,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,4,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,4,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,3,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,3,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,3,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,cls,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,12,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,7,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,6,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,6,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,11,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,11,mean,delta,200,2400,4800
