prompt_id,prompt
0,The student examined a beautiful painting.
1,The student examined a beautiful painting before the deadline.
2,The person who examined a beautiful painting was the student.
3,"After the student examined a beautiful painting, the situation changed."
4,The report said that the student examined a beautiful painting.
5,"If the student examined a beautiful painting, the result mattered."
6,The researcher created a beautiful painting.
7,The researcher created a beautiful painting at the school.
8,The person who created a beautiful painting was the researcher.
9,"After the researcher created a beautiful painting, the situation changed."
10,The report said that the researcher created a beautiful painting.
11,"If the researcher created a beautiful painting, the result mattered."
12,The artist measured the client.
13,The artist measured the client after the interview.
14,The person who measured the client was the artist.
15,"After the artist measured the client, the situation changed."
16,The report said that the artist measured the client.
17,"If the artist measured the client, the result mattered."
18,The analyst found a short story.
19,The analyst found a short story after the interview.
20,The person who found a short story was the analyst.
21,"After the analyst found a short story, the situation changed."
22,The report said that the analyst found a short story.
23,"If the analyst found a short story, the result mattered."
24,The designer created the system.
25,The designer created the system during the meeting.
26,The person who created the system was the designer.
27,"After the designer created the system, the situation changed."
28,The report said that the designer created the system.
29,"If the designer created the system, the result mattered."
30,The analyst solved the signal.
31,The analyst solved the signal in the laboratory.
32,The person who solved the signal was the analyst.
33,"After the analyst solved the signal, the situation changed."
34,The report said that the analyst solved the signal.
35,"If the analyst solved the signal, the result mattered."
36,The chef observed the patient.
37,The chef observed the patient before the deadline.
38,The person who observed the patient was the chef.
39,"After the chef observed the patient, the situation changed."
40,The report said that the chef observed the patient.
41,"If the chef observed the patient, the result mattered."
42,The pilot reported the patient.
43,The pilot reported the patient before the deadline.
44,The person who reported the patient was the pilot.
45,"After the pilot reported the patient, the situation changed."
46,The report said that the pilot reported the patient.
47,"If the pilot reported the patient, the result mattered."
48,The musician approved the experiment.
49,The musician approved the experiment during the experiment.
50,The person who approved the experiment was the musician.
51,"After the musician approved the experiment, the situation changed."
52,The report said that the musician approved the experiment.
53,"If the musician approved the experiment, the result mattered."
54,The student created the garden.
55,The student created the garden during the meeting.
56,The person who created the garden was the student.
57,"After the student created the garden, the situation changed."
58,The report said that the student created the garden.
59,"If the student created the garden, the result mattered."
60,The teacher analyzed the family.
61,The teacher analyzed the family before the presentation.
62,The person who analyzed the family was the teacher.
63,"After the teacher analyzed the family, the situation changed."
64,The report said that the teacher analyzed the family.
65,"If the teacher analyzed the family, the result mattered."
66,The musician found the patient.
67,The musician found the patient after the interview.
68,The person who found the patient was the musician.
69,"After the musician found the patient, the situation changed."
70,The report said that the musician found the patient.
71,"If the musician found the patient, the result mattered."
72,The student reported the garden.
73,The student reported the garden before the deadline.
74,The person who reported the garden was the student.
75,"After the student reported the garden, the situation changed."
76,The report said that the student reported the garden.
77,"If the student reported the garden, the result mattered."
78,The doctor reported the problem.
79,The doctor reported the problem during the experiment.
80,The person who reported the problem was the doctor.
81,"After the doctor reported the problem, the situation changed."
82,The report said that the doctor reported the problem.
83,"If the doctor reported the problem, the result mattered."
84,The chef approved a complex machine.
85,The chef approved a complex machine during the experiment.
86,The person who approved a complex machine was the chef.
87,"After the chef approved a complex machine, the situation changed."
88,The report said that the chef approved a complex machine.
89,"If the chef approved a complex machine, the result mattered."
90,The researcher created the decision.
91,The researcher created the decision at the school.
92,The person who created the decision was the researcher.
93,"After the researcher created the decision, the situation changed."
94,The report said that the researcher created the decision.
95,"If the researcher created the decision, the result mattered."
96,The artist reported the garden.
97,The artist reported the garden at the school.
98,The person who reported the garden was the artist.
99,"After the artist reported the garden, the situation changed."
100,The report said that the artist reported the garden.
