model,language,path,direct,mean_residual_norm,mean_direct_norm,relative_residual_norm,mean_cosine_composed_direct,note
BAAI/bge-m3,ar,-2->-1->0,-2->0,3.67094457942585e-07,9.330169677734377,3.9344886459957706e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,ar,-1->0->1,-1->1,2.8263912099646404e-07,2.0943939685821533,1.3495031225829734e-07,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,ar,0->1->2,0->2,3.956308773922501e-07,9.689704895019531,4.0830023806393e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,ar,-2->0->2,-2->2,4.099802595192159e-07,8.326929092407227,4.9235470811481725e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,de,-2->-1->0,-2->0,4.365601000699826e-07,11.012948989868164,3.9640617899294746e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,de,-1->0->1,-1->1,4.621762457190926e-07,10.27719497680664,4.497104910683447e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,de,0->1->2,0->2,3.311407965611579e-07,10.86072826385498,3.04897405101201e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,de,-2->0->2,-2->2,4.75370057984037e-07,12.331445693969728,3.8549419656419566e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,en,-2->-1->0,-2->0,3.5227799344284e-07,10.797680854797363,3.262533709857962e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,en,-1->0->1,-1->1,5.145419663676876e-07,11.56616497039795,4.4486824890555e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,en,0->1->2,0->2,4.706053005065769e-07,14.209693908691406,3.3118610076599e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,en,-2->0->2,-2->2,5.677725312125403e-07,13.35780906677246,4.2504915143126716e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,es,-2->-1->0,-2->0,3.838745215034578e-07,11.411527633666992,3.3639189211953635e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,es,-1->0->1,-1->1,4.849616743740626e-07,11.16873550415039,4.342135895285537e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,es,0->1->2,0->2,4.587968760461081e-07,13.44413948059082,3.41261632286205e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,es,-2->0->2,-2->2,5.30647128016426e-07,12.195247650146484,4.3512617509122726e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,fr,-2->-1->0,-2->0,4.4768066231881686e-07,11.016736030578612,4.0636415121753096e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,fr,-1->0->1,-1->1,5.347433216229547e-07,11.435602188110352,4.6761272187723086e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,fr,0->1->2,0->2,4.394030952425965e-07,13.284782409667969,3.3075671979077015e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,fr,-2->0->2,-2->2,4.667232076371874e-07,12.594846725463867,3.705667950271163e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,ru,-2->-1->0,-2->0,3.905674930138048e-07,10.228899955749512,3.8182747630344245e-08,1.0,sanity_identity_for_same_endpoint_path
BAAI/bge-m3,ru,-1->0->1,-1->1,3.763333893402887e-07,9.51565170288086,3.954888327939443e-08,1.0,sanity_identity_for_same_endpoint_path
