language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
en,0,she,this system,during the review,she hates this system during the review.,she dislikes this system during the review.,she feels indifferent toward this system during the review.,she likes this system during the review.,she loves this system during the review.
en,1,I,this idea,today,I hates this idea today.,I dislikes this idea today.,I feels indifferent toward this idea today.,I likes this idea today.,I loves this idea today.
en,2,the critic,this city,at the end,the critic hates this city at the end.,the critic dislikes this city at the end.,the critic feels indifferent toward this city at the end.,the critic likes this city at the end.,the critic loves this city at the end.
en,3,the neighbor,this system,during the review,the neighbor hates this system during the review.,the neighbor dislikes this system during the review.,the neighbor feels indifferent toward this system during the review.,the neighbor likes this system during the review.,the neighbor loves this system during the review.
en,4,the teacher,you,during the review,the teacher hates you during the review.,the teacher dislikes you during the review.,the teacher feels indifferent toward you during the review.,the teacher likes you during the review.,the teacher loves you during the review.
en,5,she,the proposal,today,she hates the proposal today.,she dislikes the proposal today.,she feels indifferent toward the proposal today.,she likes the proposal today.,she loves the proposal today.
en,6,the artist,this city,today,the artist hates this city today.,the artist dislikes this city today.,the artist feels indifferent toward this city today.,the artist likes this city today.,the artist loves this city today.
en,7,the researcher,you,during the review,the researcher hates you during the review.,the researcher dislikes you during the review.,the researcher feels indifferent toward you during the review.,the researcher likes you during the review.,the researcher loves you during the review.
en,8,she,the design,during the review,she hates the design during the review.,she dislikes the design during the review.,she feels indifferent toward the design during the review.,she likes the design during the review.,she loves the design during the review.
en,9,she,the proposal,in private,she hates the proposal in private.,she dislikes the proposal in private.,she feels indifferent toward the proposal in private.,she likes the proposal in private.,she loves the proposal in private.
en,10,the neighbor,the design,at the end,the neighbor hates the design at the end.,the neighbor dislikes the design at the end.,the neighbor feels indifferent toward the design at the end.,the neighbor likes the design at the end.,the neighbor loves the design at the end.
en,11,I,this city,at the end,I hates this city at the end.,I dislikes this city at the end.,I feels indifferent toward this city at the end.,I likes this city at the end.,I loves this city at the end.
en,12,the teacher,the proposal,at the end,the teacher hates the proposal at the end.,the teacher dislikes the proposal at the end.,the teacher feels indifferent toward the proposal at the end.,the teacher likes the proposal at the end.,the teacher loves the proposal at the end.
