model,source_set,prompt_style,layer,control,position_mode,question_mark_rate,target_marker_rate,other_marker_rate,mean_content_preservation,question_and_preserved_rate,mean_generated_chars,rows
gpt2,hard_out_of_template,copy_sentence,2,negative_last_each_step,last_each_step,0.0,0.4,0.5,0.5800595238095239,0.0,110.25,40
gpt2,hard_out_of_template,copy_sentence,2,none,none,0.0,0.45,0.475,0.7052678571428571,0.0,112.775,40
gpt2,hard_out_of_template,copy_sentence,2,random_last_each_step,last_each_step,0.0,0.45,0.45,0.6411309523809524,0.0,114.775,40
gpt2,hard_out_of_template,copy_sentence,2,target_last_each_step,last_each_step,0.875,0.95,0.525,0.6694345238095238,0.5,112.175,40
gpt2,hard_out_of_template,copy_sentence,2,target_prompt_all_once,prompt_all,0.625,0.85,0.6,0.6502380952380953,0.525,117.0,40
gpt2,hard_out_of_template,copy_sentence,2,target_prompt_first,prompt_first,0.0,0.45,0.475,0.7052678571428571,0.0,113.75,40
gpt2,hard_out_of_template,copy_sentence,2,target_prompt_last_once,prompt_last,0.0,0.525,0.525,0.7177678571428572,0.0,117.775,40
gpt2,hard_out_of_template,copy_sentence,2,target_prompt_middle,prompt_middle,0.0,0.475,0.525,0.7219345238095238,0.0,114.125,40
gpt2,hard_out_of_template,copy_sentence,2,wrong_last_each_step,last_each_step,0.0,0.5,0.525,0.7177678571428572,0.0,114.825,40
gpt2,hard_out_of_template,copy_sentence,3,negative_last_each_step,last_each_step,0.0,0.375,0.375,0.5311607142857142,0.0,105.05,40
gpt2,hard_out_of_template,copy_sentence,3,none,none,0.0,0.45,0.475,0.7052678571428571,0.0,112.775,40
gpt2,hard_out_of_template,copy_sentence,3,random_last_each_step,last_each_step,0.0,0.475,0.5,0.6542261904761905,0.0,117.525,40
gpt2,hard_out_of_template,copy_sentence,3,target_last_each_step,last_each_step,0.975,1.0,0.575,0.7088095238095238,0.575,119.45,40
gpt2,hard_out_of_template,copy_sentence,3,target_prompt_all_once,prompt_all,0.8,0.875,0.55,0.7204761904761905,0.65,119.425,40
gpt2,hard_out_of_template,copy_sentence,3,target_prompt_first,prompt_first,0.0,0.475,0.5,0.7219345238095238,0.0,114.4,40
gpt2,hard_out_of_template,copy_sentence,3,target_prompt_last_once,prompt_last,0.0,0.525,0.525,0.7386011904761904,0.0,117.875,40
gpt2,hard_out_of_template,copy_sentence,3,target_prompt_middle,prompt_middle,0.0,0.475,0.5,0.7219345238095238,0.0,114.3,40
gpt2,hard_out_of_template,copy_sentence,3,wrong_last_each_step,last_each_step,0.0,0.525,0.55,0.7219345238095238,0.0,116.05,40
gpt2,hard_out_of_template,repeat_sentence,2,negative_last_each_step,last_each_step,0.0,0.425,0.5,0.71375,0.0,116.075,40
gpt2,hard_out_of_template,repeat_sentence,2,none,none,0.0,0.4,0.5,0.7756547619047619,0.0,121.15,40
gpt2,hard_out_of_template,repeat_sentence,2,random_last_each_step,last_each_step,0.0,0.325,0.425,0.7335714285714285,0.0,119.8,40
gpt2,hard_out_of_template,repeat_sentence,2,target_last_each_step,last_each_step,0.95,1.0,0.525,0.7629166666666667,0.625,114.2,40
gpt2,hard_out_of_template,repeat_sentence,2,target_prompt_all_once,prompt_all,0.6,0.875,0.6,0.6506845238095238,0.525,118.225,40
