template_id,subject,action_base,object,context,op_a,op_b,pair,source,ab_text,ba_text
0,scientist,submit,the request,before the deadline,N,Q,NQ_vs_QN,The scientist submitted the request before the deadline.,Did the scientist fail to submit the request before the deadline?,Is it false that the scientist submitted the request before the deadline?
0,scientist,submit,the request,before the deadline,N,M,NM_vs_MN,The scientist submitted the request before the deadline.,The scientist did not reportedly submit the request before the deadline.,The scientist reportedly did not submit the request before the deadline.
0,scientist,submit,the request,before the deadline,N,T,NT_vs_TN,The scientist submitted the request before the deadline.,The scientist will fail to submit the request before the deadline.,The scientist will not submit the request before the deadline.
0,scientist,submit,the request,before the deadline,Q,M,QM_vs_MQ,The scientist submitted the request before the deadline.,Is it reportedly true that the scientist submitted the request before the deadline?,Did the scientist reportedly submit the request before the deadline?
0,scientist,submit,the request,before the deadline,Q,T,QT_vs_TQ,The scientist submitted the request before the deadline.,Will it be true that the scientist will submit the request before the deadline?,Will the scientist submit the request before the deadline?
0,scientist,submit,the request,before the deadline,M,T,MT_vs_TM,The scientist submitted the request before the deadline.,The scientist reportedly will submit the request before the deadline.,The scientist will reportedly submit the request before the deadline.
1,editor,complete,the repair,before the deadline,N,Q,NQ_vs_QN,The editor completed the repair before the deadline.,Did the editor fail to complete the repair before the deadline?,Is it false that the editor completed the repair before the deadline?
1,editor,complete,the repair,before the deadline,N,M,NM_vs_MN,The editor completed the repair before the deadline.,The editor did not allegedly complete the repair before the deadline.,The editor allegedly did not complete the repair before the deadline.
1,editor,complete,the repair,before the deadline,N,T,NT_vs_TN,The editor completed the repair before the deadline.,The editor will fail to complete the repair before the deadline.,The editor will not complete the repair before the deadline.
1,editor,complete,the repair,before the deadline,Q,M,QM_vs_MQ,The editor completed the repair before the deadline.,Is it allegedly true that the editor completed the repair before the deadline?,Did the editor allegedly complete the repair before the deadline?
1,editor,complete,the repair,before the deadline,Q,T,QT_vs_TQ,The editor completed the repair before the deadline.,Will it be true that the editor is going to complete the repair before the deadline?,Will the editor complete the repair before the deadline?
1,editor,complete,the repair,before the deadline,M,T,MT_vs_TM,The editor completed the repair before the deadline.,The editor allegedly is going to complete the repair before the deadline.,The editor will allegedly complete the repair before the deadline.
2,manager,review,the proposal,during the meeting,N,Q,NQ_vs_QN,The manager reviewed the proposal during the meeting.,Did the manager fail to review the proposal during the meeting?,Is it false that the manager reviewed the proposal during the meeting?
2,manager,review,the proposal,during the meeting,N,M,NM_vs_MN,The manager reviewed the proposal during the meeting.,The manager did not reportedly review the proposal during the meeting.,The manager reportedly failed to review the proposal during the meeting.
2,manager,review,the proposal,during the meeting,N,T,NT_vs_TN,The manager reviewed the proposal during the meeting.,The manager will fail to review the proposal during the meeting.,The manager will not review the proposal during the meeting.
2,manager,review,the proposal,during the meeting,Q,M,QM_vs_MQ,The manager reviewed the proposal during the meeting.,Is it reportedly true that the manager reviewed the proposal during the meeting?,Did the manager reportedly review the proposal during the meeting?
2,manager,review,the proposal,during the meeting,Q,T,QT_vs_TQ,The manager reviewed the proposal during the meeting.,Will it be true that the manager plans to review the proposal during the meeting?,Will the manager review the proposal during the meeting?
2,manager,review,the proposal,during the meeting,M,T,MT_vs_TM,The manager reviewed the proposal during the meeting.,The manager reportedly plans to review the proposal during the meeting.,The manager will reportedly review the proposal during the meeting.
3,consultant,approve,the treatment,before the deadline,N,Q,NQ_vs_QN,The consultant approved the treatment before the deadline.,Did the consultant fail to approve the treatment before the deadline?,Is it false that the consultant approved the treatment before the deadline?
3,consultant,approve,the treatment,before the deadline,N,M,NM_vs_MN,The consultant approved the treatment before the deadline.,The consultant did not reportedly approve the treatment before the deadline.,The consultant reportedly refused to approve the treatment before the deadline.
3,consultant,approve,the treatment,before the deadline,N,T,NT_vs_TN,The consultant approved the treatment before the deadline.,The consultant will fail to approve the treatment before the deadline.,The consultant will not approve the treatment before the deadline.
3,consultant,approve,the treatment,before the deadline,Q,M,QM_vs_MQ,The consultant approved the treatment before the deadline.,Is it reportedly true that the consultant approved the treatment before the deadline?,Did the consultant reportedly approve the treatment before the deadline?
3,consultant,approve,the treatment,before the deadline,Q,T,QT_vs_TQ,The consultant approved the treatment before the deadline.,Will it be true that the consultant will approve the treatment before the deadline?,Will the consultant approve the treatment before the deadline?
3,consultant,approve,the treatment,before the deadline,M,T,MT_vs_TM,The consultant approved the treatment before the deadline.,The consultant reportedly will approve the treatment before the deadline.,The consultant will reportedly approve the treatment before the deadline.
4,architect,review,the proposal,after the review,N,Q,NQ_vs_QN,The architect reviewed the proposal after the review.,Did the architect fail to review the proposal after the review?,Is it false that the architect reviewed the proposal after the review?
4,architect,review,the proposal,after the review,N,M,NM_vs_MN,The architect reviewed the proposal after the review.,The architect did not allegedly review the proposal after the review.,The architect allegedly refused to review the proposal after the review.
4,architect,review,the proposal,after the review,N,T,NT_vs_TN,The architect reviewed the proposal after the review.,The architect will fail to review the proposal after the review.,The architect will not review the proposal after the review.
4,architect,review,the proposal,after the review,Q,M,QM_vs_MQ,The architect reviewed the proposal after the review.,Is it allegedly true that the architect reviewed the proposal after the review?,Did the architect allegedly review the proposal after the review?
4,architect,review,the proposal,after the review,Q,T,QT_vs_TQ,The architect reviewed the proposal after the review.,Will it be true that the architect is going to review the proposal after the review?,Will the architect review the proposal after the review?
4,architect,review,the proposal,after the review,M,T,MT_vs_TM,The architect reviewed the proposal after the review.,The architect allegedly is going to review the proposal after the review.,The architect will allegedly review the proposal after the review.
5,doctor,verify,the report,for the committee,N,Q,NQ_vs_QN,The doctor verified the report for the committee.,Did the doctor fail to verify the report for the committee?,Is it false that the doctor verified the report for the committee?
5,doctor,verify,the report,for the committee,N,M,NM_vs_MN,The doctor verified the report for the committee.,The doctor did not allegedly verify the report for the committee.,The doctor allegedly refused to verify the report for the committee.
5,doctor,verify,the report,for the committee,N,T,NT_vs_TN,The doctor verified the report for the committee.,The doctor will fail to verify the report for the committee.,The doctor will not verify the report for the committee.
5,doctor,verify,the report,for the committee,Q,M,QM_vs_MQ,The doctor verified the report for the committee.,Is it allegedly true that the doctor verified the report for the committee?,Did the doctor allegedly verify the report for the committee?
5,doctor,verify,the report,for the committee,Q,T,QT_vs_TQ,The doctor verified the report for the committee.,Will it be true that the doctor is going to verify the report for the committee?,Will the doctor verify the report for the committee?
5,doctor,verify,the report,for the committee,M,T,MT_vs_TM,The doctor verified the report for the committee.,The doctor allegedly is going to verify the report for the committee.,The doctor will allegedly verify the report for the committee.
6,consultant,fix,the bug,before the deadline,N,Q,NQ_vs_QN,The consultant fixed the bug before the deadline.,Did the consultant fail to fix the bug before the deadline?,Is it false that the consultant fixed the bug before the deadline?
6,consultant,fix,the bug,before the deadline,N,M,NM_vs_MN,The consultant fixed the bug before the deadline.,The consultant did not allegedly fix the bug before the deadline.,The consultant allegedly refused to fix the bug before the deadline.
6,consultant,fix,the bug,before the deadline,N,T,NT_vs_TN,The consultant fixed the bug before the deadline.,The consultant will fail to fix the bug before the deadline.,The consultant will not fix the bug before the deadline.
6,consultant,fix,the bug,before the deadline,Q,M,QM_vs_MQ,The consultant fixed the bug before the deadline.,Is it allegedly true that the consultant fixed the bug before the deadline?,Did the consultant allegedly fix the bug before the deadline?
6,consultant,fix,the bug,before the deadline,Q,T,QT_vs_TQ,The consultant fixed the bug before the deadline.,Will it be true that the consultant plans to fix the bug before the deadline?,Will the consultant fix the bug before the deadline?
6,consultant,fix,the bug,before the deadline,M,T,MT_vs_TM,The consultant fixed the bug before the deadline.,The consultant allegedly plans to fix the bug before the deadline.,The consultant will allegedly fix the bug before the deadline.
7,operator,review,the proposal,with the team,N,Q,NQ_vs_QN,The operator reviewed the proposal with the team.,Did the operator fail to review the proposal with the team?,Is it false that the operator reviewed the proposal with the team?
7,operator,review,the proposal,with the team,N,M,NM_vs_MN,The operator reviewed the proposal with the team.,The operator did not apparently review the proposal with the team.,The operator apparently refused to review the proposal with the team.
7,operator,review,the proposal,with the team,N,T,NT_vs_TN,The operator reviewed the proposal with the team.,The operator will fail to review the proposal with the team.,The operator will not review the proposal with the team.
7,operator,review,the proposal,with the team,Q,M,QM_vs_MQ,The operator reviewed the proposal with the team.,Is it apparently true that the operator reviewed the proposal with the team?,Did the operator apparently review the proposal with the team?
7,operator,review,the proposal,with the team,Q,T,QT_vs_TQ,The operator reviewed the proposal with the team.,Will it be true that the operator is going to review the proposal with the team?,Will the operator review the proposal with the team?
7,operator,review,the proposal,with the team,M,T,MT_vs_TM,The operator reviewed the proposal with the team.,The operator apparently is going to review the proposal with the team.,The operator will apparently review the proposal with the team.
8,coordinator,verify,the report,before the deadline,N,Q,NQ_vs_QN,The coordinator verified the report before the deadline.,Did the coordinator fail to verify the report before the deadline?,Is it false that the coordinator verified the report before the deadline?
8,coordinator,verify,the report,before the deadline,N,M,NM_vs_MN,The coordinator verified the report before the deadline.,The coordinator did not reportedly verify the report before the deadline.,The coordinator reportedly did not verify the report before the deadline.
8,coordinator,verify,the report,before the deadline,N,T,NT_vs_TN,The coordinator verified the report before the deadline.,The coordinator will fail to verify the report before the deadline.,The coordinator will not verify the report before the deadline.
8,coordinator,verify,the report,before the deadline,Q,M,QM_vs_MQ,The coordinator verified the report before the deadline.,Is it reportedly true that the coordinator verified the report before the deadline?,Did the coordinator reportedly verify the report before the deadline?
8,coordinator,verify,the report,before the deadline,Q,T,QT_vs_TQ,The coordinator verified the report before the deadline.,Will it be true that the coordinator is going to verify the report before the deadline?,Will the coordinator verify the report before the deadline?
8,coordinator,verify,the report,before the deadline,M,T,MT_vs_TM,The coordinator verified the report before the deadline.,The coordinator reportedly is going to verify the report before the deadline.,The coordinator will reportedly verify the report before the deadline.
9,programmer,approve,the treatment,before the deadline,N,Q,NQ_vs_QN,The programmer approved the treatment before the deadline.,Did the programmer fail to approve the treatment before the deadline?,Is it false that the programmer approved the treatment before the deadline?
9,programmer,approve,the treatment,before the deadline,N,M,NM_vs_MN,The programmer approved the treatment before the deadline.,The programmer did not apparently approve the treatment before the deadline.,The programmer apparently failed to approve the treatment before the deadline.
9,programmer,approve,the treatment,before the deadline,N,T,NT_vs_TN,The programmer approved the treatment before the deadline.,The programmer will fail to approve the treatment before the deadline.,The programmer will not approve the treatment before the deadline.
9,programmer,approve,the treatment,before the deadline,Q,M,QM_vs_MQ,The programmer approved the treatment before the deadline.,Is it apparently true that the programmer approved the treatment before the deadline?,Did the programmer apparently approve the treatment before the deadline?
9,programmer,approve,the treatment,before the deadline,Q,T,QT_vs_TQ,The programmer approved the treatment before the deadline.,Will it be true that the programmer will approve the treatment before the deadline?,Will the programmer approve the treatment before the deadline?
9,programmer,approve,the treatment,before the deadline,M,T,MT_vs_TM,The programmer approved the treatment before the deadline.,The programmer apparently will approve the treatment before the deadline.,The programmer will apparently approve the treatment before the deadline.
10,manager,approve,the treatment,at the office,N,Q,NQ_vs_QN,The manager approved the treatment at the office.,Did the manager fail to approve the treatment at the office?,Is it false that the manager approved the treatment at the office?
10,manager,approve,the treatment,at the office,N,M,NM_vs_MN,The manager approved the treatment at the office.,The manager did not apparently approve the treatment at the office.,The manager apparently failed to approve the treatment at the office.
10,manager,approve,the treatment,at the office,N,T,NT_vs_TN,The manager approved the treatment at the office.,The manager will fail to approve the treatment at the office.,The manager will not approve the treatment at the office.
10,manager,approve,the treatment,at the office,Q,M,QM_vs_MQ,The manager approved the treatment at the office.,Is it apparently true that the manager approved the treatment at the office?,Did the manager apparently approve the treatment at the office?
10,manager,approve,the treatment,at the office,Q,T,QT_vs_TQ,The manager approved the treatment at the office.,Will it be true that the manager plans to approve the treatment at the office?,Will the manager approve the treatment at the office?
10,manager,approve,the treatment,at the office,M,T,MT_vs_TM,The manager approved the treatment at the office.,The manager apparently plans to approve the treatment at the office.,The manager will apparently approve the treatment at the office.
11,designer,support,the theory,for the committee,N,Q,NQ_vs_QN,The designer supported the theory for the committee.,Did the designer fail to support the theory for the committee?,Is it false that the designer supported the theory for the committee?
11,designer,support,the theory,for the committee,N,M,NM_vs_MN,The designer supported the theory for the committee.,The designer did not apparently support the theory for the committee.,The designer apparently failed to support the theory for the committee.
11,designer,support,the theory,for the committee,N,T,NT_vs_TN,The designer supported the theory for the committee.,The designer will fail to support the theory for the committee.,The designer will not support the theory for the committee.
11,designer,support,the theory,for the committee,Q,M,QM_vs_MQ,The designer supported the theory for the committee.,Is it apparently true that the designer supported the theory for the committee?,Did the designer apparently support the theory for the committee?
11,designer,support,the theory,for the committee,Q,T,QT_vs_TQ,The designer supported the theory for the committee.,Will it be true that the designer plans to support the theory for the committee?,Will the designer support the theory for the committee?
11,designer,support,the theory,for the committee,M,T,MT_vs_TM,The designer supported the theory for the committee.,The designer apparently plans to support the theory for the committee.,The designer will apparently support the theory for the committee.
12,coordinator,confirm,the answer,during the meeting,N,Q,NQ_vs_QN,The coordinator confirmed the answer during the meeting.,Did the coordinator fail to confirm the answer during the meeting?,Is it false that the coordinator confirmed the answer during the meeting?
12,coordinator,confirm,the answer,during the meeting,N,M,NM_vs_MN,The coordinator confirmed the answer during the meeting.,The coordinator did not allegedly confirm the answer during the meeting.,The coordinator allegedly did not confirm the answer during the meeting.
12,coordinator,confirm,the answer,during the meeting,N,T,NT_vs_TN,The coordinator confirmed the answer during the meeting.,The coordinator will fail to confirm the answer during the meeting.,The coordinator will not confirm the answer during the meeting.
12,coordinator,confirm,the answer,during the meeting,Q,M,QM_vs_MQ,The coordinator confirmed the answer during the meeting.,Is it allegedly true that the coordinator confirmed the answer during the meeting?,Did the coordinator allegedly confirm the answer during the meeting?
