prompt_id,prompt
0,The student found the system.
1,The student found the system after the discussion.
2,The scientist explained a black cat.
3,The scientist explained a black cat before the deadline.
4,The writer prepared the decision.
5,The writer prepared the decision after the discussion.
6,The scientist created the patient.
7,The scientist created the patient after the discussion.
8,The programmer studied the patient.
9,The programmer studied the patient before the presentation.
10,The scientist prepared the rule.
11,The scientist prepared the rule in the laboratory.
12,The programmer tested a black cat.
13,The programmer tested a black cat before the presentation.
14,The doctor examined a complex machine.
15,The doctor examined a complex machine before the deadline.
16,The programmer prepared a beautiful painting.
17,The programmer prepared a beautiful painting in the laboratory.
18,The programmer reported the patient.
19,The programmer reported the patient at the school.
20,The doctor studied a black cat.
21,The doctor studied a black cat after the discussion.
22,The teacher examined a complex machine.
23,The teacher examined a complex machine before the deadline.
24,The manager observed the system.
25,The manager observed the system during the experiment.
26,The teacher found a black cat.
27,The teacher found a black cat after the interview.
28,The artist solved the rule.
29,The artist solved the rule during the meeting.
30,The programmer helped the decision.
31,The programmer helped the decision during the experiment.
32,The teacher tested a beautiful painting.
33,The teacher tested a beautiful painting during the experiment.
34,The manager improved a short story.
35,The manager improved a short story before the deadline.
36,The artist created a short story.
37,The artist created a short story during the meeting.
38,The student created the decision.
39,The student created the decision after the interview.
40,The scientist prepared a complex machine.
41,The scientist prepared a complex machine during the meeting.
42,The child defended the problem.
43,The child defended the problem after the discussion.
44,The programmer prepared a black cat.
45,The programmer prepared a black cat after the discussion.
46,The child designed a black cat.
47,The child designed a black cat during the meeting.
48,The engineer defended a new principle.
49,The engineer defended a new principle before the deadline.
50,The scientist defended a beautiful painting.
51,The scientist defended a beautiful painting before the deadline.
52,The engineer analyzed the rule.
53,The engineer analyzed the rule after the discussion.
54,The manager prepared the rule.
55,The manager prepared the rule before the presentation.
56,The doctor helped the problem.
57,The doctor helped the problem before the deadline.
58,The student built a black cat.
59,The student built a black cat after the interview.
60,The programmer approved the system.
61,The programmer approved the system in the laboratory.
62,The student explained a short story.
63,The student explained a short story after the interview.
64,The writer approved the rule.
65,The writer approved the rule after the interview.
66,The programmer tested the decision.
67,The programmer tested the decision in the laboratory.
68,The doctor reported the decision.
69,The doctor reported the decision during the meeting.
70,The programmer wrote the system.
71,The programmer wrote the system before the deadline.
72,The student observed the system.
73,The student observed the system in the laboratory.
74,The scientist studied a new principle.
75,The scientist studied a new principle before the presentation.
76,The manager reported a complex machine.
77,The manager reported a complex machine after the interview.
78,The scientist designed the decision.
79,The scientist designed the decision in the laboratory.
80,The child helped the system.
81,The child helped the system before the deadline.
82,The programmer examined a black cat.
83,The programmer examined a black cat after the discussion.
84,The writer helped the problem.
85,The writer helped the problem in the laboratory.
86,The programmer analyzed the system.
87,The programmer analyzed the system after the interview.
88,The programmer measured the problem.
89,The programmer measured the problem before the deadline.
90,The engineer analyzed a new principle.
91,The engineer analyzed a new principle during the experiment.
92,The doctor wrote a beautiful painting.
93,The doctor wrote a beautiful painting before the presentation.
94,The manager approved the system.
95,The manager approved the system after the discussion.
96,The doctor analyzed the patient.
97,The doctor analyzed the patient in the laboratory.
98,The scientist wrote a new principle.
99,The scientist wrote a new principle after the interview.
100,The child improved a complex machine.
101,The child improved a complex machine before the presentation.
102,The teacher tested a complex machine.
103,The teacher tested a complex machine after the discussion.
104,The student explained a new principle.
105,The student explained a new principle at the school.
106,The student wrote a black cat.
107,The student wrote a black cat after the interview.
108,The student prepared the problem.
109,The student prepared the problem in the laboratory.
110,The programmer tested a black cat during the meeting.
111,The programmer wrote the patient.
112,The programmer wrote the patient during the meeting.
113,The student prepared the rule.
114,The student prepared the rule before the deadline.
115,The teacher designed the patient.
116,The teacher designed the patient at the school.
117,The programmer reported a short story.
118,The programmer reported a short story at the school.
119,The student created a complex machine.
120,The student created a complex machine after the discussion.
121,The writer explained a new principle.
122,The writer explained a new principle during the experiment.
123,The scientist found a complex machine.
124,The scientist found a complex machine during the meeting.
125,The artist built the problem.
126,The artist built the problem after the interview.
127,The artist found a complex machine.
128,The artist found a complex machine in the laboratory.
129,The programmer defended a complex machine.
130,The programmer defended a complex machine in the laboratory.
131,The artist tested the problem.
132,The artist tested the problem during the experiment.
133,The writer helped the system.
134,The writer helped the system at the school.
135,The child designed a complex machine.
136,The child designed a complex machine after the discussion.
137,The writer studied the system.
138,The writer studied the system after the interview.
139,The writer helped a complex machine.
140,The writer helped a complex machine at the school.
141,The programmer prepared the patient.
142,The programmer prepared the patient before the deadline.
143,The engineer helped the rule.
144,The engineer helped the rule after the interview.
145,The teacher studied the rule.
146,The teacher studied the rule before the deadline.
147,The artist reported the system.
148,The artist reported the system during the experiment.
149,The teacher explained the problem.
150,The teacher explained the problem during the meeting.
151,The scientist designed the rule.
152,The scientist designed the rule in the laboratory.
153,The teacher discovered the system.
154,The teacher discovered the system before the deadline.
155,The child prepared a black cat.
156,The child prepared a black cat after the discussion.
157,The teacher approved a black cat.
158,The teacher approved a black cat after the interview.
159,The artist helped a beautiful painting.
160,The artist helped a beautiful painting after the interview.
161,The doctor measured the problem.
162,The doctor measured the problem before the deadline.
163,The engineer studied a black cat.
164,The engineer studied a black cat before the deadline.
165,The teacher built the problem.
166,The teacher built the problem in the laboratory.
167,The writer analyzed the patient.
168,The writer analyzed the patient after the interview.
169,The writer explained a new principle before the deadline.
170,The manager tested a beautiful painting.
171,The manager tested a beautiful painting before the deadline.
172,The child solved the patient.
173,The child solved the patient after the discussion.
174,The programmer created a new principle.
175,The programmer created a new principle after the interview.
176,The doctor built a complex machine.
177,The doctor built a complex machine after the discussion.
178,The programmer created the patient.
179,The programmer created the patient at the school.
180,The writer measured the patient.
181,The writer measured the patient before the deadline.
182,The writer built a beautiful painting.
183,The writer built a beautiful painting during the experiment.
184,The doctor examined the system.
185,The doctor examined the system after the discussion.
186,The student wrote a complex machine.
187,The student wrote a complex machine after the interview.
188,The programmer discovered a new principle.
189,The programmer discovered a new principle in the laboratory.
190,The doctor solved a beautiful painting.
191,The doctor solved a beautiful painting during the experiment.
192,The writer designed the decision.
193,The writer designed the decision during the experiment.
194,The teacher observed a black cat.
195,The teacher observed a black cat before the presentation.
196,The writer observed a beautiful painting.
197,The writer observed a beautiful painting after the discussion.
198,The teacher discovered the patient.
199,The teacher discovered the patient during the meeting.
200,The manager solved a beautiful painting.
201,The manager solved a beautiful painting during the meeting.
202,The doctor reported the patient.
203,The doctor reported the patient after the discussion.
204,The artist created the system.
205,The artist created the system during the experiment.
206,The writer analyzed the rule.
207,The writer analyzed the rule during the experiment.
208,The doctor reported a complex machine.
209,The doctor reported a complex machine in the laboratory.
210,The engineer reported the system.
211,The engineer reported the system before the deadline.
212,The teacher approved the system.
213,The teacher approved the system at the school.
214,The programmer defended the decision.
215,The programmer defended the decision at the school.
216,The doctor created the patient.
217,The doctor created the patient after the discussion.
218,The writer helped a short story.
219,The writer helped a short story before the presentation.
220,The writer approved a new principle.
221,The writer approved a new principle at the school.
222,The artist discovered the problem.
223,The artist discovered the problem during the experiment.
224,The child helped the patient.
225,The child helped the patient at the school.
226,The child reported the problem.
227,The child reported the problem during the meeting.
228,The scientist designed a new principle.
229,The scientist designed a new principle in the laboratory.
230,The student examined a new principle.
231,The student examined a new principle at the school.
232,The student studied a black cat.
233,The student studied a black cat at the school.
234,The artist improved a new principle.
235,The artist improved a new principle in the laboratory.
236,The programmer prepared a black cat after the interview.
237,The programmer observed a short story.
238,The programmer observed a short story during the experiment.
239,The manager found the problem.
240,The manager found the problem in the laboratory.
241,The programmer discovered a black cat.
242,The programmer discovered a black cat during the experiment.
243,The student observed the patient.
244,The student observed the patient in the laboratory.
245,The artist tested a black cat.
246,The artist tested a black cat at the school.
247,The doctor created a black cat.
248,The doctor created a black cat in the laboratory.
249,The child discovered a black cat.
250,The child discovered a black cat before the deadline.
251,The teacher examined the system.
252,The teacher examined the system before the presentation.
253,The engineer explained the rule.
254,The engineer explained the rule during the experiment.
255,The writer solved the patient.
256,The writer solved the patient before the deadline.
257,The child examined a complex machine.
258,The child examined a complex machine after the discussion.
259,The writer wrote a new principle.
260,The writer wrote a new principle before the deadline.
261,The artist explained a short story.
262,The artist explained a short story after the interview.
263,The manager measured the patient.
264,The manager measured the patient in the laboratory.
265,The scientist improved the rule.
266,The scientist improved the rule during the meeting.
267,The teacher analyzed the patient.
268,The teacher analyzed the patient after the discussion.
269,The engineer solved the problem.
270,The engineer solved the problem at the school.
271,The student observed the system after the discussion.
272,The artist designed a short story.
273,The artist designed a short story during the meeting.
274,The teacher solved the system.
275,The teacher solved the system during the experiment.
276,The programmer created a complex machine.
277,The programmer created a complex machine before the presentation.
278,The scientist improved a black cat.
279,The scientist improved a black cat after the interview.
280,The programmer prepared the system.
281,The programmer prepared the system during the experiment.
282,The teacher wrote a beautiful painting.
283,The teacher wrote a beautiful painting in the laboratory.
284,The student analyzed the decision.
285,The student analyzed the decision after the interview.
286,The artist approved the decision.
287,The artist approved the decision during the experiment.
288,The doctor studied a black cat before the deadline.
289,The manager solved the system.
290,The manager solved the system before the deadline.
291,The doctor found a short story.
292,The doctor found a short story in the laboratory.
293,The manager solved a short story.
294,The manager solved a short story at the school.
295,The person who defended the document was the musician.
296,"After the musician defended the document, the situation changed."
297,The report said that the musician defended the document.
298,"If the musician defended the document, the result mattered."
299,The person who examined the question was the pilot.
300,"After the pilot examined the question, the situation changed."
301,The report said that the pilot examined the question.
302,"If the pilot examined the question, the result mattered."
303,The person who built the document was the musician.
304,"After the musician built the document, the situation changed."
