model,layer,source_set,prompt_style,source,target,target_class,control,gain,vector_class,prompt,generated,content_preservation,target_and_preserved,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
distilgpt2,0,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
Repeated:
The oracle built the tower.
Repeated:
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
distilgpt2,0,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,1.5,question,"Repeat this sentence:
The oracle built the tower.
Repeated:",?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
distilgpt2,0,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,1.5,random_norm,"Repeat this sentence:
The oracle built the tower.
Repeated:","The tower.
The tower.
The tower.
The tower.
The tower.
The tower.
The tower.",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
distilgpt2,0,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,1.5,negation,"Repeat this sentence:
The oracle built the tower.
Repeated:","The oracle built the tower.
Repeated:
The oracle built the tower.
Repeated:
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
distilgpt2,0,in_template_test,repeat_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,1.5,question,"Repeat this sentence:
The oracle built the tower.
Repeated:","The first sentence:
The second sentence.
The second.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
distilgpt2,0,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
Copy:
The oracle built the tower.
Copy:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,0,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,1.5,question,"Copy this sentence:
The oracle built the tower.
Copy:",?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
distilgpt2,0,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,1.5,random_norm,"Copy this sentence:
The oracle built the tower.
Copy:","Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
distilgpt2,0,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,1.5,modality,"Copy this sentence:
The oracle built the tower.
Copy:","The oracle built the tower.
Copy:
The oracle built the tower.
Copy:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,0,in_template_test,copy_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,1.5,question,"Copy this sentence:
The oracle built the tower.
Copy:",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,0,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
Same:
The oracle built the tower.
Same:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,0,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,1.5,question,"Same sentence:
The oracle built the tower.
Same:",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distilgpt2,0,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,1.5,random_norm,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
The tower.
The tower.
The tower.
The tower.
The tower.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
distilgpt2,0,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,1.5,modality,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
Same:
The oracle built the tower.
Same:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
distilgpt2,0,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,1.5,question,"Same sentence:
The oracle built the tower.
Same:","The tower.
The tower.
The tower.
The tower.
The tower.
The tower.
The tower.",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
