model,target_class,source_set,prompt_style,control,target_marker_rate,question_mark_rate,mean_content_preservation,target_and_preserved_rate,other_marker_rate,rows
distilgpt2,question,in_template_test,copy_sentence,negative_target,0.25,0.0,0.4347222222222222,0.0125,0.25,240
distilgpt2,question,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,240
distilgpt2,question,in_template_test,copy_sentence,random_norm,0.10416666666666667,0.008333333333333333,0.4083333333333333,0.0,0.1125,240
distilgpt2,question,in_template_test,copy_sentence,target,0.06666666666666667,0.0625,0.1513888888888889,0.0,0.0375,240
distilgpt2,question,in_template_test,copy_sentence,wrong_class,0.11666666666666667,0.0,0.8194444444444444,0.0,0.11666666666666667,240
distilgpt2,question,in_template_test,repeat_sentence,negative_target,0.3416666666666667,0.0,0.6180555555555556,0.041666666666666664,0.3416666666666667,240
distilgpt2,question,in_template_test,repeat_sentence,none,0.125,0.0,0.9166666666666666,0.0,0.125,240
distilgpt2,question,in_template_test,repeat_sentence,random_norm,0.18333333333333332,0.0,0.5347222222222222,0.008333333333333333,0.2125,240
distilgpt2,question,in_template_test,repeat_sentence,target,0.19583333333333333,0.18333333333333332,0.18055555555555555,0.0125,0.10416666666666667,240
distilgpt2,question,in_template_test,repeat_sentence,wrong_class,0.15,0.0,0.8819444444444444,0.004166666666666667,0.15416666666666667,240
distilgpt2,question,in_template_test,same_sentence,negative_target,0.275,0.0,0.7055555555555556,0.05416666666666667,0.275,240
distilgpt2,question,in_template_test,same_sentence,none,0.0,0.0,1.0,0.0,0.0,240
distilgpt2,question,in_template_test,same_sentence,random_norm,0.09583333333333334,0.004166666666666667,0.5888888888888889,0.004166666666666667,0.10416666666666667,240
distilgpt2,question,in_template_test,same_sentence,target,0.17916666666666667,0.16666666666666666,0.27361111111111114,0.0,0.04583333333333333,240
distilgpt2,question,in_template_test,same_sentence,wrong_class,0.03333333333333333,0.0,0.9736111111111111,0.0,0.03333333333333333,240
distilgpt2,question,out_of_template_freeform,copy_sentence,negative_target,0.3458333333333333,0.0,0.375,0.020833333333333332,0.3458333333333333,240
distilgpt2,question,out_of_template_freeform,copy_sentence,none,0.175,0.0,0.75,0.025,0.175,240
distilgpt2,question,out_of_template_freeform,copy_sentence,random_norm,0.16666666666666666,0.004166666666666667,0.3111111111111111,0.004166666666666667,0.2,240
distilgpt2,question,out_of_template_freeform,copy_sentence,target,0.16666666666666666,0.15416666666666667,0.1388888888888889,0.0,0.05,240
distilgpt2,question,out_of_template_freeform,copy_sentence,wrong_class,0.1875,0.0,0.7138888888888889,0.008333333333333333,0.2125,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,negative_target,0.35833333333333334,0.0,0.5361111111111111,0.025,0.35833333333333334,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,none,0.075,0.0,0.9166666666666666,0.0,0.1,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,random_norm,0.17083333333333334,0.0,0.45416666666666666,0.0125,0.19583333333333333,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,target,0.2875,0.2791666666666667,0.20833333333333334,0.0,0.15416666666666667,240
distilgpt2,question,out_of_template_freeform,repeat_sentence,wrong_class,0.10416666666666667,0.0,0.9208333333333333,0.0,0.11666666666666667,240
distilgpt2,question,out_of_template_freeform,same_sentence,negative_target,0.3,0.0,0.6166666666666667,0.041666666666666664,0.3,240
distilgpt2,question,out_of_template_freeform,same_sentence,none,0.0,0.0,1.0,0.0,0.0,240
distilgpt2,question,out_of_template_freeform,same_sentence,random_norm,0.14583333333333334,0.0,0.5263888888888889,0.004166666666666667,0.16666666666666666,240
distilgpt2,question,out_of_template_freeform,same_sentence,target,0.10833333333333334,0.10833333333333334,0.2902777777777778,0.0,0.058333333333333334,240
distilgpt2,question,out_of_template_freeform,same_sentence,wrong_class,0.016666666666666666,0.0,0.9902777777777777,0.0,0.016666666666666666,240
